timesteps,average_return,std
0.000000000000000000e+00,0.000000000000000000e+00,6.316846576575113659e+01
1.328125000000000000e+03,2.042853013905885007e+01,6.542757533464434516e+01
2.656250000000000000e+03,3.636784801284110813e+01,6.004155965801396633e+01
3.984375000000000000e+03,4.772472399860320280e+01,7.071797623480514972e+01
5.312500000000000000e+03,3.924613985307087916e+01,7.998584657552851240e+01
6.640625000000000000e+03,3.797444247496377301e+01,8.055591825921004556e+01
7.968750000000000000e+03,5.279811421179874742e+01,6.628131412586043325e+01
9.296875000000000000e+03,6.633659751065506782e+01,7.510647411726520772e+01
1.062500000000000000e+04,5.712990916517244955e+01,9.231619886563854038e+01
1.195312500000000000e+04,5.414576940024022633e+01,8.406301390728509659e+01
1.328125000000000000e+04,7.512974635060501782e+01,8.519207571951289992e+01
1.460937500000000000e+04,8.867925601097718413e+01,8.119501015112646769e+01
1.593750000000000000e+04,1.317589482621029902e+02,9.185615422764618643e+01
1.726562500000000000e+04,1.373177814010268207e+02,8.692364602527617023e+01
1.859375000000000000e+04,1.439411242739951149e+02,7.290334503348884709e+01
1.992187500000000000e+04,1.929873692093124760e+02,8.483647086762974254e+01
2.125000000000000000e+04,2.254115311458975555e+02,9.501603920014640892e+01
2.257812500000000000e+04,2.242645732557743941e+02,8.173348973418111996e+01
2.390625000000000000e+04,2.694654985899481972e+02,8.543508986637766611e+01
2.523437500000000000e+04,2.665919960460665834e+02,7.852968093715485054e+01
2.656250000000000000e+04,2.947667228338505083e+02,8.177853077544538962e+01
2.789062500000000000e+04,3.123604757324642378e+02,7.918010792238442264e+01
2.921875000000000000e+04,2.836850801558787794e+02,7.770183238917618951e+01
3.054687500000000000e+04,2.811484018950733912e+02,6.536026222703176813e+01
3.187500000000000000e+04,3.062228588976083756e+02,8.119016866852803105e+01
3.320312500000000000e+04,2.983619739000437789e+02,6.248321692311290576e+01
3.453125000000000000e+04,3.090777354993605286e+02,6.315822171077869740e+01
3.585937500000000000e+04,3.100325265076878054e+02,5.420432346155840975e+01
3.718750000000000000e+04,3.674733558838834711e+02,5.877951599937665605e+01
3.851562500000000000e+04,4.060101704236335536e+02,4.444686579045769292e+01
3.984375000000000000e+04,4.705347138142522567e+02,4.463139164250289781e+01
4.117187500000000000e+04,4.764309807068351574e+02,4.031252039537555021e+01
4.250000000000000000e+04,4.983365090425203334e+02,3.567647961835315584e+01
4.382812500000000000e+04,5.217504058118583998e+02,2.923063100775021894e+01
4.515625000000000000e+04,5.572026756038895883e+02,3.038850138334297668e+01
4.648437500000000000e+04,5.414262901309145946e+02,2.934755022726255191e+01
4.781250000000000000e+04,5.417903908286808701e+02,4.188773098209580326e+01
4.914062500000000000e+04,5.099378708179245905e+02,3.093881105481879956e+01
5.046875000000000000e+04,5.332716233956571159e+02,1.876152980934265457e+01
5.179687500000000000e+04,5.428352306968786252e+02,1.992913472418159415e+01
5.312500000000000000e+04,5.474878325376579369e+02,2.158531966325176654e+01
5.445312500000000000e+04,5.463157769451697732e+02,2.071930392848868507e+01
5.578125000000000000e+04,5.364686604549589219e+02,8.790963277000813036e+00
5.710937500000000000e+04,5.688908650173349315e+02,1.642813657195672761e+01
5.843750000000000000e+04,5.679646712840741429e+02,2.509220161027080565e+01
5.976562500000000000e+04,5.749232175127386881e+02,1.450388917683571322e+01
6.109375000000000000e+04,5.893494915377748384e+02,1.570888780046693967e+01
6.242187500000000000e+04,6.134361941577952848e+02,2.871828100512279036e+01
6.375000000000000000e+04,6.012354279368613561e+02,2.334582785778422931e+00
6.507812500000000000e+04,5.958060512924193972e+02,1.974922537596866334e+01
6.640625000000000000e+04,5.857849219870765864e+02,9.135579413908217816e+00
6.773437500000000000e+04,6.398835689796030692e+02,2.121658968591800942e+01
6.906250000000000000e+04,6.540493626993937823e+02,2.415124859046204620e+01
7.039062500000000000e+04,6.298397377500540415e+02,1.978747579328641848e+01
7.171875000000000000e+04,6.439753883684933271e+02,2.187764695982654928e+01
7.304687500000000000e+04,6.721577481819326749e+02,1.560972586842063947e+01
7.437500000000000000e+04,7.017278038493328722e+02,2.116228366676791950e+01
7.570312500000000000e+04,7.251066886648072796e+02,3.136701001484796336e+01
7.703125000000000000e+04,7.478363231736747139e+02,2.421329021678216975e+01
7.835937500000000000e+04,7.425060104282209750e+02,3.650227745931793777e+01
7.968750000000000000e+04,8.073705632852236249e+02,2.366301358338184002e+01
8.101562500000000000e+04,7.847212371373124142e+02,2.998302222427517449e+01
8.234375000000000000e+04,7.815378374017234364e+02,3.690443479633449897e+01
8.367187500000000000e+04,7.800622003497021524e+02,2.307339355942941950e+01
8.500000000000000000e+04,7.806526547283239097e+02,2.500077725192838329e+01
8.632812500000000000e+04,7.420234157916290769e+02,2.320113949054706382e+01
8.765625000000000000e+04,7.685633112812562331e+02,2.135100637391907696e+01
8.898437500000000000e+04,7.311850903837178066e+02,2.501276800538691703e+01
9.031250000000000000e+04,7.402343330022254122e+02,2.621265579927032263e+01
9.164062500000000000e+04,7.407631559573483173e+02,3.528325885653508465e+01
9.296875000000000000e+04,7.459629972444254236e+02,2.841932935754711309e+01
9.429687500000000000e+04,7.427107344561917444e+02,2.374612071871428043e+01
9.562500000000000000e+04,7.119390823525558289e+02,2.369942934576280891e+01
9.695312500000000000e+04,7.067647316622899325e+02,2.406902929932076063e+01
9.828125000000000000e+04,7.015000268038721742e+02,2.875036304938069520e+01
9.960937500000000000e+04,7.257582501201578680e+02,4.546737781236814158e+01
1.009375000000000000e+05,7.584352314932029913e+02,5.672982472314932778e+01
1.022656250000000000e+05,7.692582012643300686e+02,7.618579028344566950e+01
1.035937500000000000e+05,7.781132304469182372e+02,8.914792243786349957e+01
1.049218750000000000e+05,8.372025683986001923e+02,9.401040773601799572e+01
1.062500000000000000e+05,0.000000000000000000e+00,5.657747179432537621e+01
1.075781250000000000e+05,5.220264452744351757e+01,7.031746662991889707e+01
1.089062500000000000e+05,4.757749860058633828e+01,5.588308337885874266e+01
1.102343750000000000e+05,1.324409366384281839e+01,6.188103130340222435e+01
1.115625000000000000e+05,3.327706228050382009e+01,7.626343318872295640e+01
1.128906250000000000e+05,4.081347167210267202e+01,6.870304390062716493e+01
1.142187500000000000e+05,2.629749888081859410e+01,6.516996506972583347e+01
1.155468750000000000e+05,3.741196673459155875e+01,7.016134004162624649e+01
1.168750000000000000e+05,6.612413041294229288e+01,7.249607367547147874e+01
1.182031250000000000e+05,9.483575088195613034e+01,6.373175567286376975e+01
1.195312500000000000e+05,1.293476989077398116e+02,7.864100092527583286e+01
1.208593750000000000e+05,1.355931736446301556e+02,7.480934450219334053e+01
1.221875000000000000e+05,1.801863670130273931e+02,5.906772048168129174e+01
1.235156250000000000e+05,2.255294445073800773e+02,5.888289636104923375e+01
1.248437500000000000e+05,2.266734156214411087e+02,5.295125122911358773e+01
1.261718750000000000e+05,2.267835520108414755e+02,6.793001771166603930e+01
1.275000000000000000e+05,2.192011885938034084e+02,5.987325137419095000e+01
1.288281250000000000e+05,2.571337312269321274e+02,5.343214580263245495e+01
1.301562500000000000e+05,2.830084206878574946e+02,4.091188333418950407e+01
1.314843750000000000e+05,2.704629005728172615e+02,5.257035936890160599e+01
1.328125000000000000e+05,2.571111328422948077e+02,5.278890539708415020e+01
1.341406250000000000e+05,2.715968790205704408e+02,2.735029915352495777e+01
1.354687500000000000e+05,2.752229984545531352e+02,4.210015514376182466e+01
1.367968750000000000e+05,3.038311401823605138e+02,2.925806823604666818e+01
1.381250000000000000e+05,3.050911586550874972e+02,3.391036620175722760e+01
1.394531250000000000e+05,3.261373507608334990e+02,4.047286307800175820e+01
1.407812500000000000e+05,3.408360866033243042e+02,4.323544123088573343e+01
1.421093750000000000e+05,3.747389137332210112e+02,4.434623928201625631e+01
1.434375000000000000e+05,3.909024302882949655e+02,5.425685439537758725e+01
1.447656250000000000e+05,4.218810903859389896e+02,4.964798559630548169e+01
1.460937500000000000e+05,4.231975659430630117e+02,4.998323654851866138e+01
1.474218750000000000e+05,4.338472049326395563e+02,4.962694306533458644e+01
1.487500000000000000e+05,4.547445362214502325e+02,4.339009623936171067e+01
1.500781250000000000e+05,4.668486243483915814e+02,5.112196619073454684e+01
1.514062500000000000e+05,4.786129163084318634e+02,4.833106024988998684e+01
1.527343750000000000e+05,4.920076836556456215e+02,4.920349489378932617e+01
1.540625000000000000e+05,5.183883367927028303e+02,5.733293609665221169e+01
1.553906250000000000e+05,5.474074999784323836e+02,5.186075012546329077e+01
1.567187500000000000e+05,5.410047595922685559e+02,6.225737766009035568e+01
1.580468750000000000e+05,5.152582255174862667e+02,6.500730508009182529e+01
1.593750000000000000e+05,5.294767160989688364e+02,7.028804533542967192e+01
1.607031250000000000e+05,5.662451769874114689e+02,7.281652615877067092e+01
1.620312500000000000e+05,5.971920612334909038e+02,6.536465490074797913e+01
1.633593750000000000e+05,6.070681756401999110e+02,6.748782533603116462e+01
1.646875000000000000e+05,6.201731629478554169e+02,7.272242781079796714e+01
1.660156250000000000e+05,6.428452741161470385e+02,8.044157264585075495e+01
1.673437500000000000e+05,6.803313906896111121e+02,8.097995512312303390e+01
1.686718750000000000e+05,6.715160763971722417e+02,8.288315954673585395e+01
1.700000000000000000e+05,6.368669767366587848e+02,8.623158864627539799e+01
1.713281250000000000e+05,6.456745200737869936e+02,8.862406305266998174e+01
1.726562500000000000e+05,6.110225317030028691e+02,8.612585759441172684e+01
1.739843750000000000e+05,6.263733252415753441e+02,8.506371153031786037e+01
1.753125000000000000e+05,6.438469561744917655e+02,9.317761943905297528e+01
1.766406250000000000e+05,6.515718138195571782e+02,8.700694428868138175e+01
1.779687500000000000e+05,6.784412406689330055e+02,1.003425730113842462e+02
1.792968750000000000e+05,6.772731665785803443e+02,1.149268752448735142e+02
1.806250000000000000e+05,6.821679109879828502e+02,9.755351325550348918e+01
1.819531250000000000e+05,7.137171659158958619e+02,1.039751992135609129e+02
1.832812500000000000e+05,6.924676223780534201e+02,1.170984736565856679e+02
1.846093750000000000e+05,6.630378274592831076e+02,1.120747041430154098e+02
1.859375000000000000e+05,6.654488632100138830e+02,1.161378404579980241e+02
1.872656250000000000e+05,6.568862409621598317e+02,1.099952899889067339e+02
1.885937500000000000e+05,6.590973825566339883e+02,1.202646044043923155e+02
1.899218750000000000e+05,6.869025349494048669e+02,1.265877429123073625e+02
1.912500000000000000e+05,6.842013778966264681e+02,1.340475161384177056e+02
1.925781250000000000e+05,6.856360095599347915e+02,1.257075726073798734e+02
1.939062500000000000e+05,7.099200749650282205e+02,1.282608796342384210e+02
1.952343750000000000e+05,6.739943440221776427e+02,1.226612975780034418e+02
1.965625000000000000e+05,6.976678254405717325e+02,1.180349925828710411e+02
1.978906250000000000e+05,7.209444593457119481e+02,1.226297956234629112e+02
1.992187500000000000e+05,7.002008049862158714e+02,1.267523158956731351e+02
2.005468750000000000e+05,7.194250905663692492e+02,1.221633535180308172e+02
2.018750000000000000e+05,7.374782302438011357e+02,1.129074376851282295e+02
2.032031250000000000e+05,7.501756543572265628e+02,1.182212800182592787e+02
2.045312500000000000e+05,8.112551419603358909e+02,1.243667026307820009e+02
2.058593750000000000e+05,8.098023237207080456e+02,1.240076444735113199e+02
2.071875000000000000e+05,8.364864292571795659e+02,1.265244320831190521e+02
2.085156250000000000e+05,8.649446137212717076e+02,1.162290962269096326e+02
2.098437500000000000e+05,8.391738754022660487e+02,1.125975795173448972e+02
2.111718750000000000e+05,8.573878710594541417e+02,1.026476061231245183e+02
2.125000000000000000e+05,0.000000000000000000e+00,6.016833548109526220e+01
2.138281250000000000e+05,5.591950100680752911e+01,7.170149824376512981e+01
2.151562500000000000e+05,8.212368952494794883e+01,7.572545490751463149e+01
2.164843750000000000e+05,8.373099684113685726e+01,7.844741548500196870e+01
2.178125000000000000e+05,1.017203808836770662e+02,7.313746056717840816e+01
2.191406250000000000e+05,1.333681042165654560e+02,7.446829659249091549e+01
2.204687500000000000e+05,1.368100166378526126e+02,8.585689393836905481e+01
2.217968750000000000e+05,1.355295857771207864e+02,9.410254137332358937e+01
2.231250000000000000e+05,1.499248801569566751e+02,9.690985912683042613e+01
2.244531250000000000e+05,1.679130690806362907e+02,9.910219426832031786e+01
