timesteps,average_return,std
0.000000000000000000e+00,0.000000000000000000e+00,9.066414411813765639e+01
1.328125000000000000e+03,2.383777375267330001e+01,9.710801181899226719e+01
2.656250000000000000e+03,2.412017220607883417e+01,9.633233768361431260e+01
3.984375000000000000e+03,7.318259774563919962e+01,9.885077648252217841e+01
5.312500000000000000e+03,9.121574587495450714e+01,1.112118590173484023e+02
6.640625000000000000e+03,1.423413484038066201e+02,1.084680669728780060e+02
7.968750000000000000e+03,2.164060815127204194e+02,1.087362589540944953e+02
9.296875000000000000e+03,1.813937590866173935e+02,1.275884355002294086e+02
1.062500000000000000e+04,1.983494472788530061e+02,1.165289876685311015e+02
1.195312500000000000e+04,2.425626237729825903e+02,1.168155140917958761e+02
1.328125000000000000e+04,2.156100264425760997e+02,1.210897157591648181e+02
1.460937500000000000e+04,2.148279001742709227e+02,1.123155232994077295e+02
1.593750000000000000e+04,2.045888727760859069e+02,1.191304573965950055e+02
1.726562500000000000e+04,1.882122954311247724e+02,1.292421463172495635e+02
1.859375000000000000e+04,2.345491897557535026e+02,1.129781302117006021e+02
1.992187500000000000e+04,2.190850739613521228e+02,1.157456928901851114e+02
2.125000000000000000e+04,2.342370399005627917e+02,1.208033715012226708e+02
2.257812500000000000e+04,2.773054532710655167e+02,1.219487670511547606e+02
2.390625000000000000e+04,2.647812257259921012e+02,1.153577230925010610e+02
2.523437500000000000e+04,3.132144394591441028e+02,1.095259964074058416e+02
2.656250000000000000e+04,3.228887684158182765e+02,9.446332762116669812e+01
2.789062500000000000e+04,3.437370867132607941e+02,9.128651617331078683e+01
2.921875000000000000e+04,3.743953059673024768e+02,9.674117179900943597e+01
3.054687500000000000e+04,3.557956929835750088e+02,9.187861907467291189e+01
3.187500000000000000e+04,3.435074064176444608e+02,9.411595209438861787e+01
3.320312500000000000e+04,3.996438362939350668e+02,6.704937447220775937e+01
3.453125000000000000e+04,3.780872186031142519e+02,6.656106127939142425e+01
3.585937500000000000e+04,3.954105975249044604e+02,6.585749775619575530e+01
3.718750000000000000e+04,3.802478813888582749e+02,6.438612279785981229e+01
3.851562500000000000e+04,3.978861133328475148e+02,5.643359951530230489e+01
3.984375000000000000e+04,4.353994085630927771e+02,5.239274774951954328e+01
4.117187500000000000e+04,4.588328194206613944e+02,4.081577349714935110e+01
4.250000000000000000e+04,4.613889051526347203e+02,4.435680227401648779e+01
4.382812500000000000e+04,4.755126010588321606e+02,5.020221682066427604e+01
4.515625000000000000e+04,4.791708246583282858e+02,4.162742560445440176e+01
4.648437500000000000e+04,4.791370406835974904e+02,2.446776680324732922e+01
4.781250000000000000e+04,4.586298747960052538e+02,2.286436648748909306e+01
4.914062500000000000e+04,4.558487582046068383e+02,2.536807094421084230e+01
5.046875000000000000e+04,4.504352152770626958e+02,2.377164620844997955e+01
5.179687500000000000e+04,4.778661714722149441e+02,1.383802637599178809e+01
5.312500000000000000e+04,4.858203084973300747e+02,8.441635263127992062e+00
5.445312500000000000e+04,5.103522226037056271e+02,1.128865352427639834e+01
5.578125000000000000e+04,5.490282136221572955e+02,5.000000000000000278e-02
5.710937500000000000e+04,5.909518802315393486e+02,5.231820256191952012e+00
5.843750000000000000e+04,6.236297454803558367e+02,6.467518026648093610e+00
5.976562500000000000e+04,6.552224594265545647e+02,7.284961925569731989e+00
6.109375000000000000e+04,6.365626208548948171e+02,5.149464271903852364e+00
6.242187500000000000e+04,6.061401173015552786e+02,1.034736929858621579e+01
6.375000000000000000e+04,6.134067244181293290e+02,3.151747522604324558e+00
6.507812500000000000e+04,6.427695007438670700e+02,3.490981318355039775e+00
6.640625000000000000e+04,6.289814557083304862e+02,1.094806131940646310e+01
6.773437500000000000e+04,6.044154254279436600e+02,8.412135028059168462e+00
6.906250000000000000e+04,5.981142757496585318e+02,9.993294492218723235e+00
7.039062500000000000e+04,5.577683703299873059e+02,1.508722704703006912e+01
7.171875000000000000e+04,6.153116922466205096e+02,1.594749914060440688e+01
7.304687500000000000e+04,6.180679621106523882e+02,3.081416362912676732e+00
7.437500000000000000e+04,5.967598656778465056e+02,1.799609991949611754e+01
7.570312500000000000e+04,6.264964315586835255e+02,1.169723153904868695e+01
7.703125000000000000e+04,6.618177293819645683e+02,6.902465772151401779e+00
7.835937500000000000e+04,6.469451345539320073e+02,9.527012086049325035e+00
7.968750000000000000e+04,6.965408933415656065e+02,5.762610183233306316e+00
8.101562500000000000e+04,6.848055063007353738e+02,1.755729326352320641e+01
8.234375000000000000e+04,6.768773710394876844e+02,1.344715963894142874e+01
8.367187500000000000e+04,7.020323022160231403e+02,7.849748188395068382e+00
8.500000000000000000e+04,6.925466284498221512e+02,1.306170592749478487e+01
8.632812500000000000e+04,6.783358547165632899e+02,3.169764298686283155e+01
8.765625000000000000e+04,6.835601946850932791e+02,3.978714860810853793e+01
8.898437500000000000e+04,6.976044534227778513e+02,7.057609751602774395e+01
9.031250000000000000e+04,7.182009983710717052e+02,7.080024156633528776e+01
9.164062500000000000e+04,7.172189004829097030e+02,8.395838309186905235e+01
