timesteps,average_return,std
0.000000000000000000e+00,0.000000000000000000e+00,7.287002734812037374e+01
1.328125000000000000e+03,8.823987174824656776e+00,6.529441380459721245e+01
2.656250000000000000e+03,8.178703163884453886e+01,5.081001333078018689e+01
3.984375000000000000e+03,1.335683358167617598e+02,6.047265411248864808e+01
5.312500000000000000e+03,1.678354832989722354e+02,5.700704833916954328e+01
6.640625000000000000e+03,1.832086259604721761e+02,5.463420192858693269e+01
7.968750000000000000e+03,2.357758557544137830e+02,3.442082784213442892e+01
9.296875000000000000e+03,3.080660279122580505e+02,4.014873034728835677e+01
1.062500000000000000e+04,3.093646550231526930e+02,3.672696912226277988e+01
1.195312500000000000e+04,2.796382798623839108e+02,3.372144812037295480e+01
1.328125000000000000e+04,2.527393398649843448e+02,2.959756231978055041e+01
1.460937500000000000e+04,2.572940159199449113e+02,3.660908168778148308e+01
1.593750000000000000e+04,2.851003283489015416e+02,3.445865945261337515e+01
1.726562500000000000e+04,2.824569934288950321e+02,3.310163547423270813e+01
1.859375000000000000e+04,3.075554720704454326e+02,4.363098661130416644e+01
1.992187500000000000e+04,3.496432772313011696e+02,4.781821504382207877e+01
2.125000000000000000e+04,3.847298890718026314e+02,4.354753864642565020e+01
2.257812500000000000e+04,4.296876105727073423e+02,5.183426077598869597e+01
2.390625000000000000e+04,4.333012073994145794e+02,5.048867832074925843e+01
2.523437500000000000e+04,4.785706654900843091e+02,4.791472405472509877e+01
2.656250000000000000e+04,5.247609257371989315e+02,6.125124483460494673e+01
2.789062500000000000e+04,5.239274411907719013e+02,5.557723663222359534e+01
2.921875000000000000e+04,5.711584375815052681e+02,6.437819503721006242e+01
3.054687500000000000e+04,5.992536170126691104e+02,5.573418274654882509e+01
3.187500000000000000e+04,6.150866219108626183e+02,5.016440812654886372e+01
3.320312500000000000e+04,6.483260189942675424e+02,4.624555609287121172e+01
3.453125000000000000e+04,6.311439738415614329e+02,6.142198378013256388e+01
3.585937500000000000e+04,6.425729125638805499e+02,5.906459152948551150e+01
3.718750000000000000e+04,6.845437792142400895e+02,5.385496084338473821e+01
3.851562500000000000e+04,6.627914914122768550e+02,5.186795693297132459e+01
3.984375000000000000e+04,6.417913396876969045e+02,5.504290035901900069e+01
4.117187500000000000e+04,6.711170257126290153e+02,5.219443010314854092e+01
4.250000000000000000e+04,6.898226765016299851e+02,4.538346746958555400e+01
4.382812500000000000e+04,7.072358344404528907e+02,4.065638581937645313e+01
4.515625000000000000e+04,7.163003361428061453e+02,3.830384951383615544e+01
4.648437500000000000e+04,7.288696573739317728e+02,4.881390164099097007e+01
