timesteps,average_return,std
0.000000000000000000e+00,0.000000000000000000e+00,1.004373347248466786e+02
1.328125000000000000e+03,4.679053501385175196e+01,1.091030729490371414e+02
2.656250000000000000e+03,7.166367760529448105e+01,1.155409662020574899e+02
3.984375000000000000e+03,1.123812935645030251e+02,1.107522863137284048e+02
5.312500000000000000e+03,1.217935055055946805e+02,1.232447327075928740e+02
6.640625000000000000e+03,7.436095820625961039e+01,1.202014616412968877e+02
7.968750000000000000e+03,7.257138283314830574e+01,1.348692866956057514e+02
9.296875000000000000e+03,3.967130679330431775e+01,1.435459067635793247e+02
1.062500000000000000e+04,5.686309613933672580e+01,1.339121676484483032e+02
1.195312500000000000e+04,5.695638955587999419e+01,1.457780418355510790e+02
1.328125000000000000e+04,6.226983517560157111e+01,1.606434720432988286e+02
1.460937500000000000e+04,7.326006534469244968e+01,1.560088756172246178e+02
1.593750000000000000e+04,1.619861706393222676e+02,1.604963668157167547e+02
1.726562500000000000e+04,2.087171830496235998e+02,1.645953965320895520e+02
1.859375000000000000e+04,2.562359742729602772e+02,1.643215626802612235e+02
1.992187500000000000e+04,2.395430939632061609e+02,1.633822607991632196e+02
2.125000000000000000e+04,2.239325297741225143e+02,1.537142021180352174e+02
2.257812500000000000e+04,2.364017809829474857e+02,1.633992608677546059e+02
2.390625000000000000e+04,2.557102581562353691e+02,1.706726805755534428e+02
2.523437500000000000e+04,2.330705917207994560e+02,1.622012771853565880e+02
2.656250000000000000e+04,1.850659546627229872e+02,1.743813599781732080e+02
2.789062500000000000e+04,1.824038947575247107e+02,1.649616944130963248e+02
2.921875000000000000e+04,2.365612026831699097e+02,1.766002850438023870e+02
3.054687500000000000e+04,2.683893221088418386e+02,1.508741433296712273e+02
3.187500000000000000e+04,2.790445557799201879e+02,1.553316506978435143e+02
3.320312500000000000e+04,3.222238248568100403e+02,1.590705008271938823e+02
3.453125000000000000e+04,3.293626631536454283e+02,1.573888317287301675e+02
3.585937500000000000e+04,3.669314786486943945e+02,1.643012069341827441e+02
3.718750000000000000e+04,3.717244483677694689e+02,1.570414528875033113e+02
3.851562500000000000e+04,3.832968206678615388e+02,1.568807618698757267e+02
3.984375000000000000e+04,4.280121599085137518e+02,1.470615841739806910e+02
4.117187500000000000e+04,4.101241911405714973e+02,1.380268384210905595e+02
4.250000000000000000e+04,3.884490608770096287e+02,1.415381433613865738e+02
4.382812500000000000e+04,4.179427669194056989e+02,1.359734400740045999e+02
4.515625000000000000e+04,4.086730285991930032e+02,1.356411922555301146e+02
4.648437500000000000e+04,4.564535023928162332e+02,1.232480372924692347e+02
4.781250000000000000e+04,4.707298212404872402e+02,1.296160724221639953e+02
4.914062500000000000e+04,4.652870752351223018e+02,1.176705579774202590e+02
5.046875000000000000e+04,4.581142566847799458e+02,1.254968920251087638e+02
5.179687500000000000e+04,4.964185759578468833e+02,1.285615969560360554e+02
5.312500000000000000e+04,4.908517369633251519e+02,1.431270588162576018e+02
5.445312500000000000e+04,4.900522434749109379e+02,1.458593662985718709e+02
5.578125000000000000e+04,4.729410067543965397e+02,1.269839621680124964e+02
5.710937500000000000e+04,4.352571374499607373e+02,1.398248930969745913e+02
5.843750000000000000e+04,4.332034421658598831e+02,1.440133487082748331e+02
5.976562500000000000e+04,4.617732371430780631e+02,1.346013633801238711e+02
6.109375000000000000e+04,4.418466177764560143e+02,1.336835328547029746e+02
6.242187500000000000e+04,4.081538884827978109e+02,1.348004400442597444e+02
6.375000000000000000e+04,4.055610687944956112e+02,1.347809653230449669e+02
6.507812500000000000e+04,4.194673205355304617e+02,1.517076398246663587e+02
6.640625000000000000e+04,4.287545631188527864e+02,1.544064817881743750e+02
6.773437500000000000e+04,4.251652900812835583e+02,1.688587083706715362e+02
6.906250000000000000e+04,4.672913858360257677e+02,1.621439919079741969e+02
7.039062500000000000e+04,4.879437137509287936e+02,1.579581354692682567e+02
7.171875000000000000e+04,5.275581916461527499e+02,1.812663466779830230e+02
7.304687500000000000e+04,6.081529335635045754e+02,1.690050971767056751e+02
7.437500000000000000e+04,6.105475716978010041e+02,1.656773827751583781e+02
7.570312500000000000e+04,6.339487452999172774e+02,1.824530116888638531e+02
7.703125000000000000e+04,6.359077034757704041e+02,1.839617150266230681e+02
7.835937500000000000e+04,5.990884333531334960e+02,1.835060171289088942e+02
7.968750000000000000e+04,6.139504790993703409e+02,1.898444044249079070e+02
8.101562500000000000e+04,6.170811387961196033e+02,2.005305092197564534e+02
8.234375000000000000e+04,6.015377545866194851e+02,1.897339741603587413e+02
8.367187500000000000e+04,6.160634985338739398e+02,2.046699969813905966e+02
8.500000000000000000e+04,6.099994720521002591e+02,1.981512120020917678e+02
8.632812500000000000e+04,6.403159225361130211e+02,1.962996708751079780e+02
8.765625000000000000e+04,6.582679659394011651e+02,2.014072952293132062e+02
8.898437500000000000e+04,6.497837658184901102e+02,1.985192817998542409e+02
9.031250000000000000e+04,6.784842585917383531e+02,2.095762182609639979e+02
9.164062500000000000e+04,6.749195603909753345e+02,2.080953575880813844e+02
9.296875000000000000e+04,6.876638402989507313e+02,1.992793175534002614e+02
9.429687500000000000e+04,6.977804989810712186e+02,2.008235146396978905e+02
9.562500000000000000e+04,6.693945051792621825e+02,1.872350686408510967e+02
9.695312500000000000e+04,6.655948893149462720e+02,1.925743392943728907e+02
9.828125000000000000e+04,6.613546559267542762e+02,1.962465303581663818e+02
9.960937500000000000e+04,6.312265209815287790e+02,1.803117250383273245e+02
1.009375000000000000e+05,6.454305125097849896e+02,1.701718700184623003e+02
1.022656250000000000e+05,6.415559780411579140e+02,1.915848226681938229e+02
1.035937500000000000e+05,6.317735249089848821e+02,1.748025734373782711e+02
1.049218750000000000e+05,6.523134384454571091e+02,1.740141084570678629e+02
1.062500000000000000e+05,0.000000000000000000e+00,9.591959576928270792e+01
1.075781250000000000e+05,8.391427802408230718e+00,1.017697546482845894e+02
1.089062500000000000e+05,2.654346296714953368e+01,1.114765245946455963e+02
1.102343750000000000e+05,1.630442604219845748e+01,1.225978589468469835e+02
1.115625000000000000e+05,6.192355221231504459e+01,1.292055857663468998e+02
1.128906250000000000e+05,9.811249397255535598e+01,1.378736903728854486e+02
1.142187500000000000e+05,7.112959812311343910e+01,1.294475188597140800e+02
1.155468750000000000e+05,6.855298911516543114e+01,1.373599817221248713e+02
1.168750000000000000e+05,9.907007529204705065e+01,1.426699331379156206e+02
1.182031250000000000e+05,1.290527965273738005e+02,1.511014487527893664e+02
1.195312500000000000e+05,1.511320979675313936e+02,1.508401745811153205e+02
1.208593750000000000e+05,1.392883724724797219e+02,1.667011106902438371e+02
1.221875000000000000e+05,1.547238022530499109e+02,1.672141740836928818e+02
1.235156250000000000e+05,1.879137034739264323e+02,1.662387323953115867e+02
1.248437500000000000e+05,2.006823453465805471e+02,1.691210670300538368e+02
1.261718750000000000e+05,1.689720392851688189e+02,1.613838655635657915e+02
1.275000000000000000e+05,1.616192129259131036e+02,1.637618412928500220e+02
1.288281250000000000e+05,1.609290374527278971e+02,1.670196825670213627e+02
1.301562500000000000e+05,1.375830997918743037e+02,1.709012690328871429e+02
1.314843750000000000e+05,1.343970615002245950e+02,1.628975920067278196e+02
1.328125000000000000e+05,1.217659706548975436e+02,1.675637532283253961e+02
1.341406250000000000e+05,1.417748159962221166e+02,1.706465320605508964e+02
1.354687500000000000e+05,1.904227129376432970e+02,1.652866520135867745e+02
1.367968750000000000e+05,2.261084997330125361e+02,1.532197805074478083e+02
1.381250000000000000e+05,2.609673558347509470e+02,1.703723310052846500e+02
1.394531250000000000e+05,2.976542210380112010e+02,1.647794168203934078e+02
1.407812500000000000e+05,2.948954834303147550e+02,1.612598382779622739e+02
1.421093750000000000e+05,3.335159018643456648e+02,1.555961880467129674e+02
1.434375000000000000e+05,3.319478392570584901e+02,1.408597553771106448e+02
1.447656250000000000e+05,3.355495673585186864e+02,1.597475545477228991e+02
1.460937500000000000e+05,3.292083646770429368e+02,1.450725018136062090e+02
1.474218750000000000e+05,2.973693268886041778e+02,1.388675805056636534e+02
1.487500000000000000e+05,3.169477510350800458e+02,1.484337654044726946e+02
1.500781250000000000e+05,3.253593771275403697e+02,1.330216180410601510e+02
1.514062500000000000e+05,3.050353477393621802e+02,1.336439725468638926e+02
1.527343750000000000e+05,3.025532142030367595e+02,1.307937154421650803e+02
1.540625000000000000e+05,3.127843682851142830e+02,1.294455695343928880e+02
1.553906250000000000e+05,2.992863996604230579e+02,1.441355947590688515e+02
1.567187500000000000e+05,3.234744508120562614e+02,1.371468681266127305e+02
1.580468750000000000e+05,2.984372151714039774e+02,1.253556861228413339e+02
1.593750000000000000e+05,3.124701656526990519e+02,1.347234442175190168e+02
1.607031250000000000e+05,3.535243933930221942e+02,1.307542301906896398e+02
1.620312500000000000e+05,3.647784112467587079e+02,1.357129931763884088e+02
1.633593750000000000e+05,3.503701726507485432e+02,1.384414832835483651e+02
1.646875000000000000e+05,3.644487687946704568e+02,1.432281085154302787e+02
1.660156250000000000e+05,3.746586094165986651e+02,1.298751686897834929e+02
1.673437500000000000e+05,4.056150048636949919e+02,1.332043081656121331e+02
1.686718750000000000e+05,4.245552292961099283e+02,1.295705285140383864e+02
1.700000000000000000e+05,4.189990387441655457e+02,1.430732683430829013e+02
1.713281250000000000e+05,4.484932406474905520e+02,1.420990311307997160e+02
1.726562500000000000e+05,4.656792243987384836e+02,1.543670228991277042e+02
1.739843750000000000e+05,4.934766973927696085e+02,1.554022507566157003e+02
1.753125000000000000e+05,5.013296271781434825e+02,1.738310096747687510e+02
1.766406250000000000e+05,5.082439274758027636e+02,1.639974866904673547e+02
1.779687500000000000e+05,5.251749004743323894e+02,1.649004934676154051e+02
1.792968750000000000e+05,5.281136016929505104e+02,1.631094873274098802e+02
1.806250000000000000e+05,5.128986476606982023e+02,1.736695056578336107e+02
1.819531250000000000e+05,5.318936621152060980e+02,1.772772152649421287e+02
