timesteps,average_return,std
0.000000000000000000e+00,0.000000000000000000e+00,8.522507832500069469e+01
1.328125000000000000e+03,2.124792812464841774e+01,9.620315870153160631e+01
2.656250000000000000e+03,1.948504690872596257e+01,9.167602304234331712e+01
3.984375000000000000e+03,3.164470076453771341e+01,8.914859541014831734e+01
5.312500000000000000e+03,4.996359402434273989e+01,9.211570005746546030e+01
6.640625000000000000e+03,6.164223839976187946e+01,1.099257248704151522e+02
7.968750000000000000e+03,6.062148181338974950e+01,1.034007493675023710e+02
9.296875000000000000e+03,7.793537275809227083e+01,1.108556516014386091e+02
1.062500000000000000e+04,7.562451224168066233e+01,9.682834833419097720e+01
1.195312500000000000e+04,5.208095881370856262e+01,1.211057100649328220e+02
1.328125000000000000e+04,4.974927214946175980e+01,1.153436659045040358e+02
1.460937500000000000e+04,6.632635311607218398e+01,1.114234144169048193e+02
1.593750000000000000e+04,6.024733349892730416e+01,1.088255984440452977e+02
1.726562500000000000e+04,7.704144772236023186e+01,1.127618712234572200e+02
1.859375000000000000e+04,9.713649883221717118e+01,1.140277299647644753e+02
1.992187500000000000e+04,1.037177615899693421e+02,1.184934635391966822e+02
2.125000000000000000e+04,1.353862182353494461e+02,1.226249146546832947e+02
2.257812500000000000e+04,1.531735510368146151e+02,1.168237824704190189e+02
2.390625000000000000e+04,1.083306368232147747e+02,9.943020288922984662e+01
2.523437500000000000e+04,1.259422704950342791e+02,1.022452342292141907e+02
2.656250000000000000e+04,1.312386178790454778e+02,1.138899326016730384e+02
2.789062500000000000e+04,1.401476607594216262e+02,1.074909077243196549e+02
2.921875000000000000e+04,9.330579594467556603e+01,1.031772215735616527e+02
3.054687500000000000e+04,1.170511703293826002e+02,1.001534711033416443e+02
3.187500000000000000e+04,1.174775159889201319e+02,1.057643870026722936e+02
3.320312500000000000e+04,1.699694453921758850e+02,9.829237015693871626e+01
3.453125000000000000e+04,2.135755882419726106e+02,9.499208322809644756e+01
3.585937500000000000e+04,2.236783521976831821e+02,8.923768657383783420e+01
3.718750000000000000e+04,2.058545938318580966e+02,7.659755699628667003e+01
3.851562500000000000e+04,2.689102330686158098e+02,7.914432406997298131e+01
3.984375000000000000e+04,2.806542716122267507e+02,6.827077610014725906e+01
4.117187500000000000e+04,2.955053232931636558e+02,7.721814429736028274e+01
4.250000000000000000e+04,3.107215008147645108e+02,6.160710547658324998e+01
4.382812500000000000e+04,2.896409993796802382e+02,6.773293815004473117e+01
4.515625000000000000e+04,3.209983152129134965e+02,6.653352887250403569e+01
4.648437500000000000e+04,3.503501657588007561e+02,6.335217198137310390e+01
4.781250000000000000e+04,3.246851096083947255e+02,5.676438086444726849e+01
4.914062500000000000e+04,3.254395912005994660e+02,5.508269358363212831e+01
5.046875000000000000e+04,3.346969623285232274e+02,4.887628745538724218e+01
5.179687500000000000e+04,3.324720702784487685e+02,4.060560352231587444e+01
5.312500000000000000e+04,3.229258164947001433e+02,4.403376178332047886e+01
5.445312500000000000e+04,2.834250740209189416e+02,4.399657635753327867e+01
5.578125000000000000e+04,2.692961066865234443e+02,4.538109171626548743e+01
5.710937500000000000e+04,2.859606859730197357e+02,4.170849550867423261e+01
5.843750000000000000e+04,3.155054849525748182e+02,3.514043239884381364e+01
5.976562500000000000e+04,2.756225668542639369e+02,4.196940498084993010e+01
6.109375000000000000e+04,2.435402459749959689e+02,4.490126444964066366e+01
6.242187500000000000e+04,2.654300657942285966e+02,4.818573132293195727e+01
6.375000000000000000e+04,2.988673186200298346e+02,6.281616358062974825e+01
6.507812500000000000e+04,3.185810910463956134e+02,4.604126650235248519e+01
6.640625000000000000e+04,3.300953989278526137e+02,5.520541170522105290e+01
6.773437500000000000e+04,3.176301743622956906e+02,5.960730113568146749e+01
6.906250000000000000e+04,3.909517492354679575e+02,5.130244623830236605e+01
7.039062500000000000e+04,4.105363665247023164e+02,4.722979997817652986e+01
7.171875000000000000e+04,4.308213829602597116e+02,7.095064047163394605e+01
7.304687500000000000e+04,4.474305532926907176e+02,6.638720765315885330e+01
7.437500000000000000e+04,4.644563303224398965e+02,6.537098936938984650e+01
7.570312500000000000e+04,4.910011339426199584e+02,6.340974353801870222e+01
7.703125000000000000e+04,5.135892915179200600e+02,6.819064577112020231e+01
7.835937500000000000e+04,4.822492911408831446e+02,6.268594857911665486e+01
7.968750000000000000e+04,4.908522666448886866e+02,6.419347529716429790e+01
8.101562500000000000e+04,4.648598450642255102e+02,5.155802900447761772e+01
8.234375000000000000e+04,4.545427524642393564e+02,7.500603652098826046e+01
8.367187500000000000e+04,4.454954623361643939e+02,6.915109524021097798e+01
8.500000000000000000e+04,4.061108799500206032e+02,7.111404285880952614e+01
8.632812500000000000e+04,4.416662092257932386e+02,7.432189254555565583e+01
8.765625000000000000e+04,4.579362318803728726e+02,7.816952234379640174e+01
8.898437500000000000e+04,4.583573995729393005e+02,7.650901564231250518e+01
9.031250000000000000e+04,4.578965929370160666e+02,9.017870882751573447e+01
9.164062500000000000e+04,4.780830441726510003e+02,7.258388982201961426e+01
9.296875000000000000e+04,4.683988153357246915e+02,9.707701249256362530e+01
9.429687500000000000e+04,5.111107210883297967e+02,1.008780180313883506e+02
9.562500000000000000e+04,4.721063779120948993e+02,1.013344886951906858e+02
9.695312500000000000e+04,4.566098348061301522e+02,1.181161684452673342e+02
9.828125000000000000e+04,4.830906193939039781e+02,1.275996516262207479e+02
9.960937500000000000e+04,5.171752532307860974e+02,1.164211659178095601e+02
1.009375000000000000e+05,4.982636424492507672e+02,1.212182222880880573e+02
1.022656250000000000e+05,5.118949252151327869e+02,1.301173344977299564e+02
1.035937500000000000e+05,5.080135786266831133e+02,1.443578982432042039e+02
1.049218750000000000e+05,5.499871279046333257e+02,1.376054170412039070e+02
1.062500000000000000e+05,0.000000000000000000e+00,8.454815284670338826e+01
1.075781250000000000e+05,1.647538368423589361e+01,8.689185849699404685e+01
1.089062500000000000e+05,2.117279393626128936e+01,8.404597219098489802e+01
1.102343750000000000e+05,3.266322240475192018e+01,8.886302515179798434e+01
1.115625000000000000e+05,5.633308297780527596e+01,1.116294975814833208e+02
1.128906250000000000e+05,7.413224440320853148e+01,1.016403340719819539e+02
1.142187500000000000e+05,4.809300926570606549e+01,1.079287459189389295e+02
1.155468750000000000e+05,1.095707002693976335e+02,1.167821968092761864e+02
1.168750000000000000e+05,1.225322067923674467e+02,1.191297701859563745e+02
1.182031250000000000e+05,1.411127374889256600e+02,1.176663114233060554e+02
1.195312500000000000e+05,1.640574994587854007e+02,1.184887180084856624e+02
