evaluation_checkpoint,kl_with_cbp,kl_without_cbp,recon_with_cbp,recon_without_cbp,jq_with_cbp,jq_without_cbp,total_context_loss_with_cbp,total_context_loss_without_cbp
1,0.6480593109463584,0.7391190580026161,0.30970537852400565,0.40722560174266725,0.92,1.08,1.877764689470364,2.2263446597452834
2,0.6448640438447979,0.6703094468889061,0.28998765424161776,0.41240018869717454,0.89,1.04,1.8248516980864156,2.1227096355860806
3,0.6168880468750015,0.6405614651629752,0.28314403632375534,0.37645881803297215,0.86,1.01,1.760032083198757,2.0270202831959474
4,0.606780277409089,0.5804950087723003,0.26488534914927886,0.3862665434680945,0.83,0.98,1.7016656265583678,1.9467615522403947
5,0.6036929217633779,0.5339766773522421,0.2570304840902384,0.38027950606032823,0.81,0.96,1.6707234058536162,1.8742561834125704
6,0.5822796061572147,0.5169016097226636,0.2706560715391351,0.36921289410163505,0.86786,1.087614,1.72079567769635,1.9737285038242987
7,0.5824216391410988,0.4729310735894673,0.2396792210715767,0.36532494339880844,0.833837,1.027529,1.6559378602126755,1.8657850169882757
8,0.5686515964006442,0.46688928241652927,0.23133384355764353,0.35840088664077563,0.752123,1.110851,1.5521084399582876,1.936141169057305
9,0.5688160706418499,0.47834980552531403,0.2318829459524104,0.34168659559707315,0.778326,1.035171,1.5790250165942603,1.8552074011223874
10,0.5238864892155473,0.46868826797237584,0.22724174113371087,0.34773130971946675,0.7,0.83,1.451128230349258,1.6464195776918427
11,0.513098521887747,0.45032599052374817,0.2257760432170113,0.33055699066862554,0.754257,0.889738,1.493131565104758,1.6706209811923736
12,0.4939521269171673,0.4040347842514282,0.20850357652786128,0.35583555247692744,0.69882,0.935821,1.4012757034450285,1.6956913367283557
13,0.5023971615799419,0.4462883963899581,0.20090845067041826,0.35192881945969445,0.64543,0.959995,1.3487356122503602,1.7582122158496527
14,0.47899811574792717,0.4414597059872689,0.19603481365957356,0.323476102241557,0.665114,0.90291,1.3401469294075006,1.6678458082288259
15,0.4786704291858861,0.43021421580432395,0.20397702744151244,0.3438164818073608,0.660456,0.928173,1.3431034566273987,1.7022036976116848
16,0.45671776389854957,0.40337358714730265,0.20032765136394418,0.3231293434832866,0.57259,0.887908,1.2296354152624938,1.6144109306305894
17,0.43908580130121155,0.4405946309941167,0.17899438032142348,0.30185630963319166,0.610558,0.829081,1.228638181622635,1.5715319406273083
18,0.4476019096439894,0.44859051174257414,0.17400298948967055,0.3011623840736244,0.540735,0.935205,1.1623398991336598,1.6849578958161984
19,0.413145784394944,0.42323525510727295,0.17077678612199343,0.30512913748476844,0.528073,0.943465,1.1119955705169375,1.6718293925920413
20,0.38972429644365364,0.428802637796954,0.15625175330311084,0.2890866812947113,0.494929,0.945723,1.0409050497467645,1.6636123190916652
21,0.36175719091724245,0.3925458096929295,0.15314195147438345,0.27029058177406784,0.548459,0.88669,1.063358142391626,1.5495263914669972
22,0.3721875805769765,0.3998231403610134,0.1582985177214609,0.27918520049942064,0.494506,0.822497,1.0249920982984375,1.501505340860434
