timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,6.571716929293774001e+01
1.000000000000000000e+04,4.777894288732007340e+02,2.124083938109243661e+02
2.000000000000000000e+04,8.514605569011994248e+02,1.890441169992047605e+02
3.000000000000000000e+04,1.159190185545310214e+03,1.953943199898179444e+02
4.000000000000000000e+04,1.315601752406612150e+03,2.236695321955448321e+02
5.000000000000000000e+04,1.432426543475042763e+03,1.627384438222797769e+02
6.000000000000000000e+04,1.431424456322275546e+03,2.680022010287599414e+02
7.000000000000000000e+04,1.671984769848087581e+03,2.124215744433618056e+02
8.000000000000000000e+04,1.472628714156828437e+03,2.012601149380802781e+02
9.000000000000000000e+04,1.532451006877902273e+03,1.186480197496717608e+02
1.000000000000000000e+05,1.471474594199970170e+03,1.442553458746395165e+02
1.100000000000000000e+05,1.432368208847771484e+03,1.790467972762970135e+02
1.200000000000000000e+05,1.496449389885459595e+03,1.849088208165256049e+02
1.300000000000000000e+05,1.604161784265322694e+03,1.958156598258312897e+02
1.400000000000000000e+05,1.390015649688513577e+03,2.184035669804972883e+02
1.500000000000000000e+05,1.277282223207762854e+03,1.641123110779643923e+02
1.600000000000000000e+05,1.403910255059085102e+03,3.285733190061029063e+02
1.700000000000000000e+05,1.583845005384920796e+03,1.801792520468882515e+02
1.800000000000000000e+05,1.399110916979470858e+03,1.880837661827970919e+02
1.900000000000000000e+05,1.534581972099567110e+03,2.376741641234266638e+02
2.000000000000000000e+05,1.655817432484887604e+03,2.160211476843410878e+02
2.100000000000000000e+05,1.569547296889607878e+03,2.302640814439862709e+02
2.200000000000000000e+05,1.293770601066317568e+03,2.696813517718153435e+02
2.300000000000000000e+05,1.533710022219075427e+03,3.033910680287036712e+02
2.400000000000000000e+05,1.435338536176352363e+03,3.005963684044805291e+02
2.500000000000000000e+05,1.477570934323042820e+03,1.598589188855265206e+02
2.600000000000000000e+05,1.375977460672674397e+03,2.635385352836201491e+02
2.700000000000000000e+05,1.520749043947317659e+03,2.687911502297806692e+02
2.800000000000000000e+05,1.582793974355284718e+03,1.920182004508113494e+02
2.900000000000000000e+05,1.450226785704739768e+03,1.162656486611637945e+02
3.000000000000000000e+05,1.357993526951995591e+03,2.717502751722532821e+02
