timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,6.571716929293774001e+01
5.500000000000000000e+03,9.184949305260206529e+02,1.985205565221946244e+02
1.100000000000000000e+04,1.458722149978014158e+03,1.815412724399257911e+02
1.650000000000000000e+04,1.966023789842064161e+03,1.954005233005382820e+02
2.200000000000000000e+04,2.392946801619518737e+03,2.306356975733069987e+02
2.750000000000000000e+04,2.559204002371927800e+03,1.698931857438687132e+02
3.300000000000000000e+04,2.824483752837010343e+03,2.773453574270311037e+02
3.850000000000000000e+04,2.909896048025102118e+03,2.133175119894905833e+02
4.400000000000000000e+04,3.071373668016964530e+03,1.922670030226162226e+02
4.950000000000000000e+04,2.890056829380251202e+03,1.060054580718918373e+02
5.500000000000000000e+04,2.969760950279477584e+03,1.190190791491789497e+02
6.050000000000000000e+04,2.961800726644137285e+03,1.355385870696455015e+02
6.600000000000000000e+04,3.174938049695504105e+03,1.286620584848461988e+02
7.150000000000000000e+04,3.115211789844500800e+03,1.267215129161725713e+02
7.700000000000000000e+04,3.247709998209767491e+03,1.343839703704118733e+02
8.250000000000000000e+04,3.199282508316954591e+03,9.894449323340353430e+01
8.800000000000000000e+04,3.188736861026783572e+03,2.006801641598752610e+02
9.350000000000000000e+04,3.399007251781090417e+03,1.149219508832861010e+02
9.900000000000000000e+04,3.248036228012062111e+03,1.281476402558845109e+02
1.045000000000000000e+05,3.187666916459245385e+03,1.751961052870513527e+02
1.100000000000000000e+05,0.000000000000000000e+00,9.342419066114476323e+01
1.155000000000000000e+05,8.614365374788708323e+02,1.358541645032321412e+02
1.210000000000000000e+05,1.383668418634906629e+03,1.961666337703354372e+02
1.265000000000000000e+05,1.580435469017217429e+03,2.553443970642194074e+02
1.320000000000000000e+05,1.971839981154067118e+03,2.794375050748439548e+02
1.375000000000000000e+05,2.228855092143146521e+03,1.581515935635729591e+02
1.430000000000000000e+05,2.200558019190428695e+03,2.689252123514661434e+02
1.485000000000000000e+05,2.456279669263690266e+03,2.754032618869021576e+02
1.540000000000000000e+05,2.712686720954368866e+03,1.930511309549264638e+02
1.595000000000000000e+05,2.473176260146093227e+03,1.125570324198448589e+02
1.650000000000000000e+05,2.732855999432201770e+03,2.498627112303986451e+02
1.705000000000000000e+05,2.909082548873116593e+03,1.430511343294874962e+02
1.760000000000000000e+05,2.681423968497071655e+03,1.398792279555484868e+02
1.815000000000000000e+05,2.717232146881262452e+03,1.773809124627744609e+02
1.870000000000000000e+05,2.798851470213302036e+03,1.160377562472036033e+02
1.925000000000000000e+05,2.839062659667110438e+03,1.363336258981974254e+02
1.980000000000000000e+05,2.834838053237968779e+03,1.643678612351028505e+02
2.035000000000000000e+05,2.647884023210498981e+03,1.638794655784170970e+02
2.090000000000000000e+05,2.727477027487772375e+03,1.874458619283074086e+02
2.145000000000000000e+05,2.817729633317424032e+03,1.555549881510430339e+02
