timesteps,average_episode_return
0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+03,5.721640048095633091e+00
2.500000000000000000e+03,8.343560847989333951e+00
3.750000000000000000e+03,1.301021229000181911e+01
5.000000000000000000e+03,1.812504983555486504e+01
6.250000000000000000e+03,1.992049466877643837e+01
7.500000000000000000e+03,2.441921860287552093e+01
8.750000000000000000e+03,2.634938171261761397e+01
1.000000000000000000e+04,3.006939269991271857e+01
1.125000000000000000e+04,2.794640888124702016e+01
1.250000000000000000e+04,3.065263685867834553e+01
1.375000000000000000e+04,3.188283648990318753e+01
1.500000000000000000e+04,3.709493250903483386e+01
1.625000000000000000e+04,3.742932615927298912e+01
1.750000000000000000e+04,4.116454095509691768e+01
1.875000000000000000e+04,4.161944621423654667e+01
2.000000000000000000e+04,4.269000469878204029e+01
2.125000000000000000e+04,4.763619603856011508e+01
2.250000000000000000e+04,4.606072310693585337e+01
2.375000000000000000e+04,4.603111949833106564e+01
2.500000000000000000e+04,4.533003785263702667e+01
2.625000000000000000e+04,5.018521208165287817e+01
2.750000000000000000e+04,5.062113759591010620e+01
2.875000000000000000e+04,4.774201996348722332e+01
3.000000000000000000e+04,5.016405155641155034e+01
3.125000000000000000e+04,5.151809792371820151e+01
3.250000000000000000e+04,4.874630126010274012e+01
3.375000000000000000e+04,5.174881469135223711e+01
3.500000000000000000e+04,5.527056316836033290e+01
3.625000000000000000e+04,5.030028185407157082e+01
3.750000000000000000e+04,5.450280142534250416e+01
3.875000000000000000e+04,5.739707535535558947e+01
4.000000000000000000e+04,5.320517488743728052e+01
4.125000000000000000e+04,5.380343141816251062e+01
4.250000000000000000e+04,5.527567949659303537e+01
4.375000000000000000e+04,5.604319778508126859e+01
4.500000000000000000e+04,5.603671390313932221e+01
4.625000000000000000e+04,5.277590285244303203e+01
4.750000000000000000e+04,5.427598495559334424e+01
4.875000000000000000e+04,5.596231667245237418e+01
5.000000000000000000e+04,5.531587253205885446e+01
5.125000000000000000e+04,5.802247311343160163e+01
5.250000000000000000e+04,5.546114397332482326e+01
5.375000000000000000e+04,5.542449776958288510e+01
5.500000000000000000e+04,5.945318770875996250e+01
5.625000000000000000e+04,5.599463999005125459e+01
5.750000000000000000e+04,5.438043259718535438e+01
5.875000000000000000e+04,5.613049259686292203e+01
6.000000000000000000e+04,5.569374777877857952e+01
