timesteps,average_episode_return
0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+03,1.922926414351904478e+00
2.500000000000000000e+03,7.725909728334019455e+00
3.750000000000000000e+03,9.370887298594890780e+00
5.000000000000000000e+03,1.024511722825198490e+01
6.250000000000000000e+03,1.637509261164529661e+01
7.500000000000000000e+03,1.711835070011559523e+01
8.750000000000000000e+03,1.889793709635732100e+01
1.000000000000000000e+04,1.963022159529153399e+01
1.125000000000000000e+04,2.523867678774048784e+01
1.250000000000000000e+04,2.787943235651646745e+01
1.375000000000000000e+04,2.594140611014163866e+01
1.500000000000000000e+04,2.917914334897085027e+01
1.625000000000000000e+04,3.086871042368595042e+01
1.750000000000000000e+04,3.328184517295645861e+01
1.875000000000000000e+04,3.224759083089493572e+01
2.000000000000000000e+04,3.977106930236696769e+01
2.125000000000000000e+04,3.762931889162070576e+01
2.250000000000000000e+04,4.006437148468803144e+01
2.375000000000000000e+04,3.878488367218280075e+01
2.500000000000000000e+04,4.470935555854954657e+01
2.625000000000000000e+04,4.241893605185790506e+01
2.750000000000000000e+04,3.886625478571959036e+01
2.875000000000000000e+04,4.537986126667097864e+01
3.000000000000000000e+04,4.413210394528593383e+01
3.125000000000000000e+04,4.289300505189952872e+01
3.250000000000000000e+04,4.565704769649176598e+01
3.375000000000000000e+04,4.467198347764838928e+01
3.500000000000000000e+04,4.854903355928329489e+01
3.625000000000000000e+04,4.898517396337675933e+01
3.750000000000000000e+04,4.556880832605894227e+01
3.875000000000000000e+04,5.022661157150761824e+01
4.000000000000000000e+04,5.152259899284754141e+01
4.125000000000000000e+04,4.492922508235086099e+01
4.250000000000000000e+04,5.299116656033729811e+01
4.375000000000000000e+04,5.213892123102532139e+01
4.500000000000000000e+04,5.287125188484698413e+01
4.625000000000000000e+04,5.446497438881529263e+01
4.750000000000000000e+04,5.187676716570280888e+01
4.875000000000000000e+04,5.058152173850713496e+01
5.000000000000000000e+04,5.337925639036134129e+01
5.125000000000000000e+04,5.261694211389857401e+01
5.250000000000000000e+04,5.412334584463729215e+01
5.375000000000000000e+04,4.883859274724124333e+01
5.500000000000000000e+04,5.291324240777052523e+01
5.625000000000000000e+04,5.916666159457818708e+01
5.750000000000000000e+04,5.495573313825987327e+01
5.875000000000000000e+04,5.641583920903760685e+01
6.000000000000000000e+04,5.529328868748153525e+01
6.125000000000000000e+04,5.410324338543313161e+01
6.250000000000000000e+04,5.666506531664017388e+01
6.375000000000000000e+04,5.662658622780518414e+01
6.500000000000000000e+04,5.459450233945258191e+01
6.625000000000000000e+04,5.506409095986415281e+01
6.750000000000000000e+04,5.692762343511950718e+01
6.875000000000000000e+04,5.411361493868042061e+01
