timesteps,average_episode_return
0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+03,1.490833619359908901e+01
2.500000000000000000e+03,1.942278447779136030e+01
3.750000000000000000e+03,2.187076037043665266e+01
5.000000000000000000e+03,2.188512660679113964e+01
6.250000000000000000e+03,2.300919725189806542e+01
7.500000000000000000e+03,2.614480558052259340e+01
8.750000000000000000e+03,2.785635706818296242e+01
1.000000000000000000e+04,2.843411628216207276e+01
1.125000000000000000e+04,2.985278937373009711e+01
1.250000000000000000e+04,2.770371982594515003e+01
1.375000000000000000e+04,3.099245989060189999e+01
1.500000000000000000e+04,3.011898607208279088e+01
1.625000000000000000e+04,3.279452679216613120e+01
1.750000000000000000e+04,3.136192387149459648e+01
1.875000000000000000e+04,3.235595255120658464e+01
2.000000000000000000e+04,3.259431800919198707e+01
2.125000000000000000e+04,3.390233105503267552e+01
2.250000000000000000e+04,3.446936685505060183e+01
2.375000000000000000e+04,3.503627484935780245e+01
2.500000000000000000e+04,3.652167900625831720e+01
2.625000000000000000e+04,3.395401037806544764e+01
2.750000000000000000e+04,3.862223145187958551e+01
2.875000000000000000e+04,3.516442177228220345e+01
3.000000000000000000e+04,3.445150690813805738e+01
3.125000000000000000e+04,3.633249175395998520e+01
3.250000000000000000e+04,3.497766257669255907e+01
3.375000000000000000e+04,3.549426383373327099e+01
3.500000000000000000e+04,3.781335871442922780e+01
3.625000000000000000e+04,3.629780991198714446e+01
3.750000000000000000e+04,4.141716856407478531e+01
3.875000000000000000e+04,3.817633435288385613e+01
4.000000000000000000e+04,4.039547331821099618e+01
4.125000000000000000e+04,4.450463245952391844e+01
4.250000000000000000e+04,4.554062239683485558e+01
4.375000000000000000e+04,4.506697638944425677e+01
4.500000000000000000e+04,4.279270374821219747e+01
4.625000000000000000e+04,4.550940673097109368e+01
4.750000000000000000e+04,4.596260656460155758e+01
4.875000000000000000e+04,4.671729412716793206e+01
5.000000000000000000e+04,4.809554157922976714e+01
5.125000000000000000e+04,5.013496881393144378e+01
5.250000000000000000e+04,5.176986072326341315e+01
5.375000000000000000e+04,5.141675810516378675e+01
5.500000000000000000e+04,5.019611946840382188e+01
5.625000000000000000e+04,5.228239328376000827e+01
