timesteps,average_episode_return
0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+03,-5.946272907063869795e-01
2.500000000000000000e+03,3.920639202894424358e+00
3.750000000000000000e+03,7.832818256413036195e+00
5.000000000000000000e+03,8.435243565822021949e+00
6.250000000000000000e+03,1.036041287033387270e+01
7.500000000000000000e+03,1.170640431920255509e+01
8.750000000000000000e+03,1.459497655185877996e+01
1.000000000000000000e+04,1.420847001507749319e+01
1.125000000000000000e+04,1.271060268405227589e+01
1.250000000000000000e+04,1.791071418727719333e+01
1.375000000000000000e+04,2.296469813834681162e+01
1.500000000000000000e+04,2.132912681630679685e+01
1.625000000000000000e+04,2.231479389836556848e+01
1.750000000000000000e+04,2.611710929258705249e+01
1.875000000000000000e+04,2.174519749865234175e+01
2.000000000000000000e+04,2.229340958622335123e+01
2.125000000000000000e+04,2.443902054843012905e+01
2.250000000000000000e+04,2.710750120827798426e+01
2.375000000000000000e+04,3.066876186313815467e+01
2.500000000000000000e+04,3.009812597193591444e+01
2.625000000000000000e+04,2.861029422666708300e+01
2.750000000000000000e+04,3.238786275589990282e+01
2.875000000000000000e+04,3.082631824371311424e+01
3.000000000000000000e+04,3.150763211635086236e+01
3.125000000000000000e+04,3.120637737137078815e+01
3.250000000000000000e+04,3.033828546324913589e+01
3.375000000000000000e+04,3.230865562447296213e+01
3.500000000000000000e+04,3.135575652173952221e+01
3.625000000000000000e+04,2.968697566979031777e+01
3.750000000000000000e+04,3.269418423232437476e+01
3.875000000000000000e+04,3.750485972254086420e+01
4.000000000000000000e+04,3.474386842350595828e+01
4.125000000000000000e+04,3.288164664537128346e+01
4.250000000000000000e+04,3.642940651365660187e+01
4.375000000000000000e+04,4.130150583613533399e+01
4.500000000000000000e+04,3.670347787856604782e+01
4.625000000000000000e+04,4.223066113827756141e+01
4.750000000000000000e+04,3.875407022323231132e+01
4.875000000000000000e+04,3.386154011065566749e+01
5.000000000000000000e+04,3.895549231556584857e+01
5.125000000000000000e+04,4.285678311198774537e+01
5.250000000000000000e+04,3.989557897900263583e+01
5.375000000000000000e+04,3.679564705454681928e+01
5.500000000000000000e+04,4.021262953484889380e+01
5.625000000000000000e+04,4.231888063977287118e+01
5.750000000000000000e+04,3.678418246125158930e+01
5.875000000000000000e+04,4.039892782263600424e+01
6.000000000000000000e+04,4.101133050259929291e+01
6.125000000000000000e+04,4.270300171111359333e+01
6.250000000000000000e+04,3.995821012961263108e+01
6.375000000000000000e+04,3.917140300093822702e+01
6.500000000000000000e+04,4.235287772050048005e+01
6.625000000000000000e+04,4.191137818801330894e+01
6.750000000000000000e+04,4.129335551050027675e+01
6.875000000000000000e+04,4.058492503770678894e+01
7.000000000000000000e+04,4.337003969511742696e+01
7.125000000000000000e+04,4.080949432178407932e+01
7.250000000000000000e+04,4.637018690384116582e+01
7.375000000000000000e+04,4.136125071097565353e+01
7.500000000000000000e+04,0.000000000000000000e+00
7.625000000000000000e+04,4.021267553926810123e+00
