timesteps,average_episode_return
0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+03,1.064558268075229464e+00
2.500000000000000000e+03,3.283123112589407366e+00
3.750000000000000000e+03,5.572930935326373181e+00
5.000000000000000000e+03,1.170231660781193206e+01
6.250000000000000000e+03,1.011330641441666423e+01
7.500000000000000000e+03,1.225756670841866836e+01
8.750000000000000000e+03,1.581668413354992886e+01
1.000000000000000000e+04,1.480548844566448885e+01
1.125000000000000000e+04,1.811014613290853248e+01
1.250000000000000000e+04,1.491719051808233232e+01
1.375000000000000000e+04,1.899664518562355653e+01
1.500000000000000000e+04,2.187716111294050592e+01
1.625000000000000000e+04,2.077602564971459387e+01
1.750000000000000000e+04,2.415026974344393196e+01
1.875000000000000000e+04,2.371290353572019427e+01
2.000000000000000000e+04,2.646587215867387854e+01
2.125000000000000000e+04,2.829058860496117589e+01
2.250000000000000000e+04,2.684573733412866758e+01
2.375000000000000000e+04,2.605958914015737449e+01
2.500000000000000000e+04,2.714394574983208841e+01
2.625000000000000000e+04,2.988006656879905520e+01
2.750000000000000000e+04,3.038826062018779695e+01
2.875000000000000000e+04,2.823644713708484488e+01
3.000000000000000000e+04,3.364910468658320752e+01
3.125000000000000000e+04,3.469780769084032812e+01
3.250000000000000000e+04,3.307263092278804351e+01
3.375000000000000000e+04,3.418521372247231938e+01
3.500000000000000000e+04,3.471135545472305495e+01
3.625000000000000000e+04,3.295813497100059664e+01
3.750000000000000000e+04,3.508507559571732060e+01
3.875000000000000000e+04,3.617593598378635278e+01
4.000000000000000000e+04,3.570825446538029269e+01
4.125000000000000000e+04,3.401914889102593520e+01
4.250000000000000000e+04,3.408189711733331961e+01
4.375000000000000000e+04,3.589853840038887967e+01
4.500000000000000000e+04,3.615919191138048916e+01
4.625000000000000000e+04,3.634716565999424631e+01
4.750000000000000000e+04,3.410894327214757027e+01
4.875000000000000000e+04,3.769910717021020474e+01
5.000000000000000000e+04,3.753422826998453132e+01
5.125000000000000000e+04,3.847828663817681161e+01
5.250000000000000000e+04,3.655447385699412877e+01
5.375000000000000000e+04,4.015762719790839697e+01
5.500000000000000000e+04,3.942118418890775189e+01
5.625000000000000000e+04,4.117767194458679825e+01
5.750000000000000000e+04,3.840335595772082655e+01
5.875000000000000000e+04,4.128543002165083919e+01
6.000000000000000000e+04,4.063851384909715136e+01
6.125000000000000000e+04,3.951730452818476635e+01
6.250000000000000000e+04,4.064749105366398396e+01
6.375000000000000000e+04,3.899540217172068424e+01
6.500000000000000000e+04,4.044794627340572646e+01
6.625000000000000000e+04,4.070929472818383488e+01
6.750000000000000000e+04,4.071566216172339381e+01
6.875000000000000000e+04,4.143537789843819752e+01
7.000000000000000000e+04,4.231232684796270860e+01
7.125000000000000000e+04,3.918224413093520297e+01
7.250000000000000000e+04,4.200417518718833065e+01
7.375000000000000000e+04,3.722204034803046824e+01
7.500000000000000000e+04,0.000000000000000000e+00
7.625000000000000000e+04,5.353704356445504686e+00
7.750000000000000000e+04,4.485442233072931550e+00
7.875000000000000000e+04,4.679699884265153820e+00
8.000000000000000000e+04,1.076453458453920931e+01
8.125000000000000000e+04,5.813078870907251172e+00
8.250000000000000000e+04,8.466317572799935576e+00
8.375000000000000000e+04,8.033748840273599257e+00
8.500000000000000000e+04,1.199714832098231376e+01
8.625000000000000000e+04,1.095913491068090195e+01
8.750000000000000000e+04,9.815053269950517745e+00
8.875000000000000000e+04,1.185248910306835946e+01
9.000000000000000000e+04,1.408368697784432122e+01
9.125000000000000000e+04,1.740892306929394451e+01
9.250000000000000000e+04,1.783853960922226989e+01
9.375000000000000000e+04,1.923936503849346380e+01
9.500000000000000000e+04,1.924672145768726494e+01
9.625000000000000000e+04,1.822108660206347253e+01
9.750000000000000000e+04,2.334664993919554377e+01
9.875000000000000000e+04,1.952926815663476035e+01
1.000000000000000000e+05,2.210593768368421763e+01
1.012500000000000000e+05,2.071640296915051849e+01
1.025000000000000000e+05,2.166869502438623840e+01
1.037500000000000000e+05,2.243874743446662379e+01
1.050000000000000000e+05,2.173405018888436047e+01
1.062500000000000000e+05,2.548041237495571210e+01
1.075000000000000000e+05,2.425191956889589306e+01
1.087500000000000000e+05,2.652943348732271645e+01
1.100000000000000000e+05,2.749728781679338852e+01
1.112500000000000000e+05,2.673475685692109849e+01
1.125000000000000000e+05,2.624581244668989655e+01
1.137500000000000000e+05,2.718533981401061794e+01
1.150000000000000000e+05,2.543594290724724161e+01
1.162500000000000000e+05,2.754846128672657457e+01
1.175000000000000000e+05,2.329671015345120821e+01
1.187500000000000000e+05,2.567292223714433064e+01
1.200000000000000000e+05,2.889891540991840202e+01
1.212500000000000000e+05,2.486173134733788004e+01
1.225000000000000000e+05,2.847494149864172286e+01
1.237500000000000000e+05,2.951026518107089913e+01
1.250000000000000000e+05,2.836812746598289436e+01
1.262500000000000000e+05,2.693806617346881893e+01
1.275000000000000000e+05,3.041293313233722628e+01
1.287500000000000000e+05,3.260826209639702000e+01
1.300000000000000000e+05,3.157993551981091684e+01
1.312500000000000000e+05,2.645376486099450375e+01
1.325000000000000000e+05,3.257250951224796864e+01
1.337500000000000000e+05,2.836484284432042102e+01
1.350000000000000000e+05,3.235107064652864750e+01
1.362500000000000000e+05,2.969239467077179029e+01
1.375000000000000000e+05,3.093650282012738373e+01
1.387500000000000000e+05,3.250200564073579557e+01
1.400000000000000000e+05,2.821053826348769533e+01
1.412500000000000000e+05,3.255048004834345932e+01
1.425000000000000000e+05,3.020733602617533364e+01
1.437500000000000000e+05,3.150863083746910220e+01
1.450000000000000000e+05,3.011075249489982752e+01
1.462500000000000000e+05,2.992739366142160762e+01
1.475000000000000000e+05,2.790601411868716752e+01
1.487500000000000000e+05,2.998760823931255004e+01
1.500000000000000000e+05,0.000000000000000000e+00
1.512500000000000000e+05,1.060611264044105939e-01
1.525000000000000000e+05,5.980103421379222794e+00
1.537500000000000000e+05,6.362650158046981197e+00
1.550000000000000000e+05,4.123821731598370732e+00
1.562500000000000000e+05,8.141401998392252537e+00
1.575000000000000000e+05,1.035692991949335173e+01
1.587500000000000000e+05,1.067972179180395642e+01
1.600000000000000000e+05,1.286860135089437129e+01
1.612500000000000000e+05,1.510323456334592507e+01
1.625000000000000000e+05,1.375785291899186724e+01
1.637500000000000000e+05,1.633977113239865986e+01
1.650000000000000000e+05,1.611649688835636596e+01
1.662500000000000000e+05,1.561728092587014061e+01
1.675000000000000000e+05,1.912709592402209680e+01
1.687500000000000000e+05,1.816421400290412436e+01
1.700000000000000000e+05,1.942193784974343984e+01
1.712500000000000000e+05,2.200956684958154597e+01
1.725000000000000000e+05,1.758286011956752759e+01
1.737500000000000000e+05,2.294908774266282592e+01
1.750000000000000000e+05,2.317593244440807609e+01
1.762500000000000000e+05,2.332352251109112018e+01
1.775000000000000000e+05,2.458834610883232585e+01
1.787500000000000000e+05,2.465653967182400308e+01
1.800000000000000000e+05,2.536626461004303934e+01
1.812500000000000000e+05,2.215239029187858222e+01
1.825000000000000000e+05,2.459049349766543457e+01
1.837500000000000000e+05,2.619573486168668097e+01
1.850000000000000000e+05,2.583590910510926975e+01
1.862500000000000000e+05,2.669120996073915109e+01
1.875000000000000000e+05,2.524850010397489797e+01
1.887500000000000000e+05,3.023631741930797290e+01
1.900000000000000000e+05,2.742581031816933645e+01
1.912500000000000000e+05,2.889329661089525558e+01
1.925000000000000000e+05,2.942528479943404207e+01
1.937500000000000000e+05,2.712500258585611590e+01
1.950000000000000000e+05,2.727870479685088867e+01
1.962500000000000000e+05,2.646129645456203860e+01
1.975000000000000000e+05,2.934414617467033537e+01
1.987500000000000000e+05,3.111312419441359012e+01
2.000000000000000000e+05,3.008623880974964493e+01
2.012500000000000000e+05,2.643743160676062232e+01
2.025000000000000000e+05,3.094766573489857464e+01
2.037500000000000000e+05,3.121188291343580090e+01
2.050000000000000000e+05,2.972696595190198110e+01
2.062500000000000000e+05,2.632901507410960207e+01
2.075000000000000000e+05,2.583710804374864622e+01
2.087500000000000000e+05,2.812222296368359409e+01
2.100000000000000000e+05,2.665216945681841310e+01
2.112500000000000000e+05,3.007354865686696144e+01
2.125000000000000000e+05,3.179281372998046251e+01
2.137500000000000000e+05,3.202660280662055925e+01
2.150000000000000000e+05,3.121318886068685927e+01
2.162500000000000000e+05,3.140825381464004806e+01
2.175000000000000000e+05,3.151388572007532929e+01
2.187500000000000000e+05,2.985191091674453290e+01
