timesteps,average_episode_return
0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+03,4.508577273281754394e+00
2.500000000000000000e+03,-6.488287168907662661e-01
3.750000000000000000e+03,4.800237886588520908e+00
5.000000000000000000e+03,5.365742458721133978e+00
6.250000000000000000e+03,3.155361127839127811e+00
7.500000000000000000e+03,4.894512614744964907e+00
8.750000000000000000e+03,4.784980563524698916e+00
1.000000000000000000e+04,7.703924573500179562e+00
1.125000000000000000e+04,1.088601319509111143e+01
1.250000000000000000e+04,8.151174939876389303e+00
1.375000000000000000e+04,7.570587711567693390e+00
1.500000000000000000e+04,1.178335475019076384e+01
1.625000000000000000e+04,8.927312841262054377e+00
1.750000000000000000e+04,7.654403945730118508e+00
1.875000000000000000e+04,8.334216380232646770e+00
2.000000000000000000e+04,8.928859940505748938e+00
2.125000000000000000e+04,1.134869979647846705e+01
2.250000000000000000e+04,1.209729640693955233e+01
2.375000000000000000e+04,1.249600827120396929e+01
2.500000000000000000e+04,1.237416608147702490e+01
2.625000000000000000e+04,7.285504375755589734e+00
2.750000000000000000e+04,1.177792070577169881e+01
2.875000000000000000e+04,8.249308061372058631e+00
3.000000000000000000e+04,1.115168133862820810e+01
3.125000000000000000e+04,1.091584332684535852e+01
3.250000000000000000e+04,9.206197515037530366e+00
3.375000000000000000e+04,9.525101170130042760e+00
3.500000000000000000e+04,9.499326166385028358e+00
3.625000000000000000e+04,1.092770101100330038e+01
3.750000000000000000e+04,1.108730260435015680e+01
3.875000000000000000e+04,1.487916506199945843e+01
4.000000000000000000e+04,1.259777765843308117e+01
4.125000000000000000e+04,1.380092608715344937e+01
4.250000000000000000e+04,1.429381187043585300e+01
4.375000000000000000e+04,1.399363736794375512e+01
4.500000000000000000e+04,1.686332045022908943e+01
4.625000000000000000e+04,1.422794078584912825e+01
4.750000000000000000e+04,1.697346470180185207e+01
4.875000000000000000e+04,1.580856825437061985e+01
5.000000000000000000e+04,1.734949213972728188e+01
5.125000000000000000e+04,1.493528926423960002e+01
5.250000000000000000e+04,1.570800921065478661e+01
5.375000000000000000e+04,2.021949194102943181e+01
5.500000000000000000e+04,1.923019624264779992e+01
5.625000000000000000e+04,2.013566831327565865e+01
5.750000000000000000e+04,1.922187998857304336e+01
5.875000000000000000e+04,1.951779684438069040e+01
6.000000000000000000e+04,2.400894629145820147e+01
6.125000000000000000e+04,2.558572655424476494e+01
6.250000000000000000e+04,2.168094052847082054e+01
6.375000000000000000e+04,1.936716331102355326e+01
6.500000000000000000e+04,2.179341499432484852e+01
6.625000000000000000e+04,2.082327862935744633e+01
6.750000000000000000e+04,1.712996817546147099e+01
6.875000000000000000e+04,1.714407034567756227e+01
7.000000000000000000e+04,2.018915928155058737e+01
7.125000000000000000e+04,2.099104720739392604e+01
7.250000000000000000e+04,2.109146327101944252e+01
7.375000000000000000e+04,1.656936490501020387e+01
7.500000000000000000e+04,0.000000000000000000e+00
7.625000000000000000e+04,9.748283726917525982e-01
7.750000000000000000e+04,2.872478649670621165e-01
7.875000000000000000e+04,2.195367717619953751e+00
8.000000000000000000e+04,5.590292267998290932e+00
8.125000000000000000e+04,3.011830164621674299e+00
8.250000000000000000e+04,4.633793541013838002e+00
8.375000000000000000e+04,6.632445119560467006e+00
8.500000000000000000e+04,6.114480564953000297e+00
8.625000000000000000e+04,5.995294942923545811e+00
8.750000000000000000e+04,8.254983216324806250e+00
8.875000000000000000e+04,1.213056865161243181e+01
9.000000000000000000e+04,1.084897607146314513e+01
