timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,1.250678155267148428e+00
1.250000000000000000e+03,8.071707283762393104e+01,3.363583535702522553e+00
2.500000000000000000e+03,8.483872967398768594e+01,2.651595528653091449e+00
3.750000000000000000e+03,9.100511715247021982e+01,2.649523521754539868e+00
5.000000000000000000e+03,9.761969073449331802e+01,1.609711674632624101e+00
6.250000000000000000e+03,1.009148716041849525e+02,1.697019868257648056e+00
7.500000000000000000e+03,1.069133315747540962e+02,5.817030931119159476e+00
8.750000000000000000e+03,1.103432307209662326e+02,3.076933078457868120e+00
1.000000000000000000e+04,1.137342305471018591e+02,2.961803227242399306e+00
1.125000000000000000e+04,1.085809273739549212e+02,1.603054610258533019e+00
1.250000000000000000e+04,1.082568359969050391e+02,4.474247244075348462e+00
1.375000000000000000e+04,1.064567162736486239e+02,5.894539492725950680e+00
1.500000000000000000e+04,1.086384929382990379e+02,6.217352944624118471e+00
1.625000000000000000e+04,1.059425672340559572e+02,6.736964874411452975e+00
1.750000000000000000e+04,1.066474626753986570e+02,7.727739430085795114e+00
1.875000000000000000e+04,1.040720485800570572e+02,5.587478029077584729e+00
2.000000000000000000e+04,1.021122877101213078e+02,1.246222254077238745e+01
2.125000000000000000e+04,1.040281596954181538e+02,6.330461083453560178e+00
2.250000000000000000e+04,1.003527612153891369e+02,6.688553376004655604e+00
2.375000000000000000e+04,9.931209878586759032e+01,8.781468513192789871e+00
2.500000000000000000e+04,9.759995831925675702e+01,7.890779112642322346e+00
2.625000000000000000e+04,1.014440737273558284e+02,8.491135948166107283e+00
2.750000000000000000e+04,1.008689404206962905e+02,1.013368758939125946e+01
2.875000000000000000e+04,9.697876396735661331e+01,1.152167293278091442e+01
3.000000000000000000e+04,9.838973673936416731e+01,1.137321006649916200e+01
3.125000000000000000e+04,9.873272428575403126e+01,5.507903355546742041e+00
3.250000000000000000e+04,9.494986880122178263e+01,1.664455791779713678e+01
3.375000000000000000e+04,9.694132341155449240e+01,7.887199686517530672e+00
3.500000000000000000e+04,9.945201306764582228e+01,5.366469617068911013e+00
3.625000000000000000e+04,9.347067293244029429e+01,2.910165556314734836e+00
3.750000000000000000e+04,9.666213368279443330e+01,7.858457738777307355e+00
3.875000000000000000e+04,9.854534879189074559e+01,4.437709714990300647e+00
4.000000000000000000e+04,9.334238950305564231e+01,4.607547954178022209e+00
4.125000000000000000e+04,9.292958721286410650e+01,6.348055343245207816e+00
4.250000000000000000e+04,9.339077647037784402e+01,4.002841723589948941e+00
4.375000000000000000e+04,9.314723593794931844e+01,4.800203406032601094e+00
4.500000000000000000e+04,9.212969323509058484e+01,5.690746373624360643e+00
4.625000000000000000e+04,8.785782336347750743e+01,5.268780184417536816e+00
4.750000000000000000e+04,8.834684664571102530e+01,5.567543234669502183e+00
4.875000000000000000e+04,8.902211954165328223e+01,4.038833509844596215e+00
5.000000000000000000e+04,8.736461658034298239e+01,4.118692674351462912e+00
5.125000000000000000e+04,8.906015834079894944e+01,5.802183896255399986e+00
5.250000000000000000e+04,8.548777037977539806e+01,4.968108613823827291e+00
5.375000000000000000e+04,8.444006535511667266e+01,2.691606578004196226e+00
5.500000000000000000e+04,8.745769647337698416e+01,3.355384420473745521e+00
5.625000000000000000e+04,8.298808993375148191e+01,2.809774355562068671e+00
5.750000000000000000e+04,8.036282371996881579e+01,1.818405213060396042e+00
5.875000000000000000e+04,8.110182489872960332e+01,1.901289358883897274e+00
6.000000000000000000e+04,7.965402125972849490e+01,2.854689399379917170e+00
6.125000000000000000e+04,8.030670179500035033e+01,2.783168553028354530e+00
6.250000000000000000e+04,7.878627380806136671e+01,3.795225220361688745e+00
6.375000000000000000e+04,7.630522733408272984e+01,2.348854654015470000e+00
6.500000000000000000e+04,7.513597294697208895e+01,2.946696605391545098e+00
6.625000000000000000e+04,7.378849561743544427e+01,3.620526551880093091e+00
6.750000000000000000e+04,7.608045376296247753e+01,2.588484451247317519e+00
6.875000000000000000e+04,7.617640315094453740e+01,2.982301365158434692e+00
7.000000000000000000e+04,7.133735234558213278e+01,2.812899743788799700e+00
7.125000000000000000e+04,7.134247850328250706e+01,3.910770008075763471e+00
7.250000000000000000e+04,6.985218470595633278e+01,2.166551885210296291e+00
7.375000000000000000e+04,6.715657110517238948e+01,4.027561081343219662e+00
7.500000000000000000e+04,0.000000000000000000e+00,1.985800931374395395e+00
7.625000000000000000e+04,2.721607615242993994e+00,1.976876157457539529e+00
7.750000000000000000e+04,3.443337144243419967e+00,1.953973395107815314e+00
7.875000000000000000e+04,8.610896860009772169e+00,2.261684047341744552e+00
8.000000000000000000e+04,1.362366408216873381e+01,1.595150244310837406e+00
8.125000000000000000e+04,1.708202588605884742e+01,2.656100943639283063e+00
8.250000000000000000e+04,1.745897847135035974e+01,3.445678940839522308e+00
8.375000000000000000e+04,1.937563321626731394e+01,5.066367520861805751e+00
8.500000000000000000e+04,2.324660944089993819e+01,4.204631528375305294e+00
