timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,1.412332900016273651e+00
1.250000000000000000e+03,9.186056456002362758e-01,2.217816717980972907e+00
2.500000000000000000e+03,6.216022805775326177e+00,1.929639372770277195e+00
3.750000000000000000e+03,9.446967574403432266e+00,3.215708683194918205e+00
5.000000000000000000e+03,1.024430268674073474e+01,2.835446922179917451e+00
6.250000000000000000e+03,1.215134220783047603e+01,2.007972665360884701e+00
7.500000000000000000e+03,1.606991941243782307e+01,2.980038701631364084e+00
8.750000000000000000e+03,1.856443977608100582e+01,1.615784442356119621e+00
1.000000000000000000e+04,1.992516786604293344e+01,4.199511343671613162e+00
1.125000000000000000e+04,2.212680983359377507e+01,2.163646093639361556e+00
1.250000000000000000e+04,2.076070916179164172e+01,3.898871774609372842e+00
1.375000000000000000e+04,2.483241810243120895e+01,3.314557829702333702e+00
1.500000000000000000e+04,2.474191315989491358e+01,3.837310370818404426e+00
1.625000000000000000e+04,2.820042275596107473e+01,4.663854948929926358e+00
1.750000000000000000e+04,2.755078871127235374e+01,4.177479989018582529e+00
1.875000000000000000e+04,2.932778626696715563e+01,2.323337692616743944e+00
2.000000000000000000e+04,3.034912060093537534e+01,3.942470713876244481e+00
2.125000000000000000e+04,3.244010252275888462e+01,4.922054217681621324e+00
2.250000000000000000e+04,3.379010719875962110e+01,4.073189039790284127e+00
2.375000000000000000e+04,3.513998406904963900e+01,4.064710760058910743e+00
2.500000000000000000e+04,3.740835710193297103e+01,6.045823006383516329e+00
2.625000000000000000e+04,3.562365734972291875e+01,5.163726068873011776e+00
2.750000000000000000e+04,4.107484729951987390e+01,2.002395157000517401e+00
2.875000000000000000e+04,3.840000649590530912e+01,2.720317479807631944e+00
3.000000000000000000e+04,3.847006050774397323e+01,4.478869781893970448e+00
3.125000000000000000e+04,4.113401422954871833e+01,5.545274012396912866e+00
3.250000000000000000e+04,4.056215392826410948e+01,5.283802699619195131e+00
3.375000000000000000e+04,4.113293750002510762e+01,4.305627044175528439e+00
3.500000000000000000e+04,4.297166302087987333e+01,3.089801294125919640e+00
3.625000000000000000e+04,4.097574485859659887e+01,3.756030877055378525e+00
