timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,4.187721009500461555e+00
1.250000000000000000e+03,-5.946272907063869795e-01,1.730757742391008103e+00
2.500000000000000000e+03,3.920639202894424358e+00,5.151080996818859781e+00
3.750000000000000000e+03,7.832818256413036195e+00,3.818302555087776717e+00
5.000000000000000000e+03,8.435243565822021949e+00,4.777295742880232510e+00
6.250000000000000000e+03,1.036041287033387270e+01,4.938068207113180286e+00
7.500000000000000000e+03,1.170640431920255509e+01,6.852933007400801024e+00
8.750000000000000000e+03,1.459497655185877996e+01,6.427286749410976441e+00
1.000000000000000000e+04,1.420847001507749319e+01,3.665374440006401002e+00
1.125000000000000000e+04,1.271060268405227589e+01,8.305511755137898078e+00
1.250000000000000000e+04,1.791071418727719333e+01,6.082624747690959843e+00
1.375000000000000000e+04,2.296469813834681162e+01,4.386097452616404269e+00
1.500000000000000000e+04,2.132912681630679685e+01,6.833660077301040303e+00
1.625000000000000000e+04,2.231479389836556848e+01,6.170416576611744475e+00
1.750000000000000000e+04,2.611710929258705249e+01,5.422956163176133160e+00
1.875000000000000000e+04,2.174519749865234175e+01,4.519243413439825829e+00
2.000000000000000000e+04,2.229340958622335123e+01,3.768436381106548438e+00
2.125000000000000000e+04,2.443902054843012905e+01,5.724924502075059429e+00
2.250000000000000000e+04,2.710750120827798426e+01,6.155477458872464780e+00
2.375000000000000000e+04,3.066876186313815467e+01,3.229138620970452234e+00
2.500000000000000000e+04,3.009812597193591444e+01,7.450372106040672016e+00
2.625000000000000000e+04,2.861029422666708300e+01,7.069030903651119857e+00
2.750000000000000000e+04,3.238786275589990282e+01,3.109666959559237220e+00
2.875000000000000000e+04,3.082631824371311424e+01,2.471189966851389475e+00
3.000000000000000000e+04,3.150763211635086236e+01,5.657201495931155399e+00
3.125000000000000000e+04,3.120637737137078815e+01,2.740250923678173134e+00
3.250000000000000000e+04,3.033828546324913589e+01,4.093816324591597500e+00
3.375000000000000000e+04,3.230865562447296213e+01,4.091155547707212570e+00
3.500000000000000000e+04,3.135575652173952221e+01,4.477555825429394787e+00
3.625000000000000000e+04,2.968697566979031777e+01,3.968049758594246246e+00
3.750000000000000000e+04,3.269418423232437476e+01,3.829162633407757088e+00
3.875000000000000000e+04,3.750485972254086420e+01,2.631564782752115583e+00
4.000000000000000000e+04,3.474386842350595828e+01,3.768870811544860810e+00
4.125000000000000000e+04,3.288164664537128346e+01,6.181084548509222287e+00
4.250000000000000000e+04,3.642940651365660187e+01,5.354136685734903089e+00
4.375000000000000000e+04,4.130150583613533399e+01,4.195103693935201328e+00
4.500000000000000000e+04,3.670347787856604782e+01,3.808266486618263169e+00
4.625000000000000000e+04,4.223066113827756141e+01,6.572047026892631649e+00
4.750000000000000000e+04,3.875407022323231132e+01,7.882161699814658640e+00
4.875000000000000000e+04,3.386154011065566749e+01,6.342199783062561380e+00
5.000000000000000000e+04,3.895549231556584857e+01,7.102385051670951910e+00
5.125000000000000000e+04,4.285678311198774537e+01,7.656117113871028224e+00
5.250000000000000000e+04,3.989557897900263583e+01,5.703253466903610125e+00
5.375000000000000000e+04,3.679564705454681928e+01,9.504786250433340911e+00
5.500000000000000000e+04,4.021262953484889380e+01,8.497420981195038081e+00
5.625000000000000000e+04,4.231888063977287118e+01,5.577795050995887571e+00
5.750000000000000000e+04,3.678418246125158930e+01,9.224792857826074055e+00
5.875000000000000000e+04,4.039892782263600424e+01,7.936831124836587037e+00
6.000000000000000000e+04,4.101133050259929291e+01,5.881356792308445769e+00
6.125000000000000000e+04,4.270300171111359333e+01,4.749587525826759027e+00
6.250000000000000000e+04,3.995821012961263108e+01,5.792304681313903636e+00
6.375000000000000000e+04,3.917140300093822702e+01,8.292259448014156931e+00
6.500000000000000000e+04,4.235287772050048005e+01,7.604591816070824351e+00
6.625000000000000000e+04,4.191137818801330894e+01,6.073108439509067757e+00
6.750000000000000000e+04,4.129335551050027675e+01,6.474425848560078300e+00
6.875000000000000000e+04,4.058492503770678894e+01,6.480381051708689277e+00
7.000000000000000000e+04,4.337003969511742696e+01,4.730421932205312707e+00
7.125000000000000000e+04,4.080949432178407932e+01,6.757260779458617250e+00
7.250000000000000000e+04,4.637018690384116582e+01,7.110895128679909583e+00
7.375000000000000000e+04,4.136125071097565353e+01,5.995437495406467754e+00
7.500000000000000000e+04,0.000000000000000000e+00,4.116788475932642299e+00
7.625000000000000000e+04,4.021267553926810123e+00,3.087530370927969336e+00
7.750000000000000000e+04,4.362504305035626473e+00,7.019556998178948959e+00
7.875000000000000000e+04,4.730597115160966482e+00,4.203530219927920974e+00
8.000000000000000000e+04,8.701527121694558886e+00,9.355060496931349334e+00
8.125000000000000000e+04,8.088151045464570643e+00,3.565750680771121228e+00
8.250000000000000000e+04,7.390462662358927126e+00,5.058998980595533546e+00
8.375000000000000000e+04,1.063154196269022655e+01,8.717674047856316832e+00
8.500000000000000000e+04,1.246498616181899166e+01,5.786041103385412221e+00
8.625000000000000000e+04,9.274800500644744261e+00,7.110468286348615052e+00
8.750000000000000000e+04,1.606631322921567318e+01,5.396618039988904769e+00
8.875000000000000000e+04,1.107839792532267253e+01,9.208500869112096865e+00
9.000000000000000000e+04,1.629960874826745254e+01,8.482807873926907050e+00
9.125000000000000000e+04,1.656600620220110542e+01,8.671359817025258820e+00
9.250000000000000000e+04,1.417530805217298884e+01,9.317625216053865955e+00
9.375000000000000000e+04,1.799349575767337228e+01,9.888383352088384370e+00
9.500000000000000000e+04,1.716099934878781852e+01,6.362297152288582502e+00
9.625000000000000000e+04,2.077664675185588550e+01,5.176884158645845169e+00
9.750000000000000000e+04,1.944023677171054487e+01,4.006798908273668580e+00
9.875000000000000000e+04,2.189725583372637985e+01,4.482846685128310860e+00
1.000000000000000000e+05,2.282681695786947529e+01,6.034229755141733875e+00
1.012500000000000000e+05,2.495943482859931351e+01,3.234367258197837547e+00
