timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,1.712075584520716509e+00
1.250000000000000000e+03,1.104880689381042336e+00,1.959913199300838516e+00
2.500000000000000000e+03,3.363767955201033111e+00,1.613472917903838733e+00
3.750000000000000000e+03,5.693898199243811575e+00,1.916234411708453989e+00
5.000000000000000000e+03,1.186360629303518266e+01,1.341353031409833640e+00
6.250000000000000000e+03,1.031491852094572792e+01,2.901794364784972657e+00
7.500000000000000000e+03,1.249950123625354514e+01,2.162553044227967902e+00
8.750000000000000000e+03,1.609894108269061874e+01,2.232304463482538193e+00
1.000000000000000000e+04,1.512806781611099183e+01,2.273952656083074952e+00
1.125000000000000000e+04,1.847304792466084677e+01,2.933516836316034215e+00
1.250000000000000000e+04,1.532041473114046148e+01,2.486096740587189657e+00
1.375000000000000000e+04,1.944019181998749701e+01,2.068554990858179732e+00
1.500000000000000000e+04,2.236103016861025949e+01,4.028740545508530779e+00
1.625000000000000000e+04,2.130021712669016054e+01,2.896922304400610937e+00
1.750000000000000000e+04,2.471478364172531172e+01,2.817072296610942050e+00
1.875000000000000000e+04,2.431773985530738713e+01,3.461676854664117009e+00
2.000000000000000000e+04,2.711103089956688450e+01,3.852207669510420818e+00
2.125000000000000000e+04,2.897606976715999494e+01,3.386885294064679641e+00
2.250000000000000000e+04,2.757154091763329973e+01,3.263480371709476913e+00
2.375000000000000000e+04,2.682571514496781973e+01,3.140705697114117179e+00
2.500000000000000000e+04,2.795039417594834674e+01,3.301455356724133150e+00
2.625000000000000000e+04,3.072683741622112663e+01,2.712211902404211727e+00
2.750000000000000000e+04,3.127535388891568147e+01,3.597739079502949355e+00
2.875000000000000000e+04,2.916386282711853895e+01,3.630603707411976799e+00
3.000000000000000000e+04,3.461684279792271468e+01,2.421711300860938554e+00
3.125000000000000000e+04,3.570586822348565192e+01,2.593594127610395539e+00
3.250000000000000000e+04,3.412101387673917685e+01,2.435898538721749773e+00
3.375000000000000000e+04,3.527391909772926937e+01,2.294648248059057760e+00
3.500000000000000000e+04,3.584038325128581448e+01,2.335036359622005619e+00
3.625000000000000000e+04,3.412748518886917282e+01,3.476056348143355290e+00
3.750000000000000000e+04,3.629474823489170632e+01,3.091198625247828069e+00
3.875000000000000000e+04,3.742593104426654804e+01,3.179353075678541529e+00
4.000000000000000000e+04,3.699857194716630460e+01,2.220669761453530011e+00
4.125000000000000000e+04,3.534978879411775665e+01,2.990863193520726604e+00
4.250000000000000000e+04,3.545285944173095771e+01,2.643488796155023746e+00
4.375000000000000000e+04,3.730982314609232731e+01,1.632031415533495400e+00
4.500000000000000000e+04,3.761079907838975345e+01,1.873035322933914948e+00
4.625000000000000000e+04,3.783909524830932014e+01,2.820879777975731084e+00
4.750000000000000000e+04,3.564119528176846075e+01,2.502796721831295645e+00
4.875000000000000000e+04,3.927168160113690476e+01,1.683657418634914915e+00
5.000000000000000000e+04,3.914712512221704799e+01,3.078649255376619820e+00
5.125000000000000000e+04,4.013150591171513781e+01,1.779855014571296801e+00
5.250000000000000000e+04,3.824801555183827162e+01,2.656576675021336875e+00
5.375000000000000000e+04,4.189149131405834936e+01,1.823810044483861859e+00
5.500000000000000000e+04,4.119537072636352093e+01,3.074002016094554701e+00
5.625000000000000000e+04,4.299218090334837683e+01,2.009411191401765162e+00
5.750000000000000000e+04,4.025818733778821468e+01,2.928835269646446804e+00
5.875000000000000000e+04,4.318058382302404397e+01,2.247626411318965012e+00
6.000000000000000000e+04,4.257399007177616568e+01,1.510988450771605152e+00
6.125000000000000000e+04,4.149310317216959731e+01,1.861857349429724584e+00
6.250000000000000000e+04,4.266361211895462446e+01,2.311206157797966565e+00
6.375000000000000000e+04,4.105184565831714139e+01,2.494049961920906000e+00
6.500000000000000000e+04,4.254471218130799315e+01,2.413270730802945074e+00
6.625000000000000000e+04,4.284638305739191821e+01,1.973806448012368930e+00
6.750000000000000000e+04,4.289307291223728669e+01,2.849614134816481403e+00
6.875000000000000000e+04,4.365311107025790704e+01,2.731735091005583982e+00
7.000000000000000000e+04,4.457038244108822767e+01,3.159819242147389406e+00
7.125000000000000000e+04,4.148062214536653869e+01,3.940920461743048886e+00
7.250000000000000000e+04,4.434287562292547591e+01,3.931851018126397701e+00
7.375000000000000000e+04,3.960106320507343014e+01,2.700645189535725521e+00
7.500000000000000000e+04,0.000000000000000000e+00,1.263615225129561592e+00
7.625000000000000000e+04,5.394002217127993326e+00,2.108687408627271775e+00
