timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,3.031514803462674212e+00
1.250000000000000000e+03,5.070079826204022311e+00,1.856349236565821403e+00
2.500000000000000000e+03,4.741763889537700116e-01,1.980419063417306891e+00
3.750000000000000000e+03,6.484745545355325547e+00,3.341392040414307818e+00
5.000000000000000000e+03,7.611752670410206534e+00,3.913424733979060210e+00
6.250000000000000000e+03,5.962873892450469171e+00,2.321389047757639990e+00
7.500000000000000000e+03,8.263527932278574184e+00,3.613303344322368105e+00
8.750000000000000000e+03,8.715498433980576110e+00,3.968099460537543699e+00
1.000000000000000000e+04,1.219594499687832645e+01,3.309639081368199509e+00
1.125000000000000000e+04,1.593953617139152357e+01,4.159462505989689696e+00
1.250000000000000000e+04,1.376620046909907202e+01,4.879870998653694336e+00
1.375000000000000000e+04,1.374711579371264492e+01,5.356963137472299685e+00
1.500000000000000000e+04,1.852138538525798239e+01,3.823200126902596363e+00
1.625000000000000000e+04,1.622684602925153996e+01,3.932878396240807373e+00
1.750000000000000000e+04,1.551543968664187112e+01,4.370090235752475571e+00
1.875000000000000000e+04,1.675675467406666996e+01,4.002973288019054721e+00
2.000000000000000000e+04,1.791290078726203916e+01,5.832828110966747914e+00
2.125000000000000000e+04,2.089424319615702785e+01,2.354645309218968752e+00
2.250000000000000000e+04,2.220434235954038371e+01,3.788117798673539482e+00
2.375000000000000000e+04,2.316455677672706770e+01,7.292700240725214833e+00
2.500000000000000000e+04,2.360421713992239390e+01,4.549348836340171509e+00
2.625000000000000000e+04,1.907705798712321865e+01,4.451150994809520256e+00
2.750000000000000000e+04,2.413097687006159831e+01,4.836681368179711171e+00
2.875000000000000000e+04,2.116386677858423226e+01,4.755784140037225605e+00
3.000000000000000000e+04,2.462774260876264520e+01,5.517030387775630373e+00
3.125000000000000000e+04,2.495340714990206266e+01,4.685300065557832738e+00
3.250000000000000000e+04,2.380526389101650508e+01,4.322645194654668011e+00
3.375000000000000000e+04,2.468567009903128096e+01,3.743629557825764120e+00
3.500000000000000000e+04,2.522139764820853713e+01,4.093007651036648653e+00
3.625000000000000000e+04,2.721127504574907974e+01,4.949510241270456135e+00
3.750000000000000000e+04,2.743893156816029233e+01,1.830900875013704798e+00
3.875000000000000000e+04,3.094340613823422004e+01,3.774600776143858027e+00
4.000000000000000000e+04,2.837463084709246885e+01,3.410465704177212398e+00
4.125000000000000000e+04,2.928139088839247606e+01,4.039937644464381528e+00
4.250000000000000000e+04,2.934895327276930743e+01,1.921309626403715720e+00
4.375000000000000000e+04,2.862345537137164442e+01,4.144874921609891238e+00
4.500000000000000000e+04,3.106781505475140293e+01,3.807922986206780713e+00
4.625000000000000000e+04,2.800711199146586594e+01,3.297555992468641062e+00
4.750000000000000000e+04,3.032731250851301752e+01,2.640767489920767375e+00
4.875000000000000000e+04,2.873709266217621305e+01,4.275177284318263382e+00
5.000000000000000000e+04,2.985269314862729928e+01,2.486195400466115757e+00
5.125000000000000000e+04,2.709276153447082436e+01,2.310620208259260622e+00
5.250000000000000000e+04,2.799449724291590869e+01,3.318665632670629861e+00
5.375000000000000000e+04,3.263499573532045872e+01,3.525512351301762770e+00
5.500000000000000000e+04,3.177471579896871035e+01,4.075729368277143827e+00
5.625000000000000000e+04,3.280920363162647391e+01,3.632622498631370878e+00
5.750000000000000000e+04,3.119047868147799463e+01,3.336006731761972599e+00
5.875000000000000000e+04,3.011657826908033542e+01,3.533864405843204715e+00
6.000000000000000000e+04,3.323791044795252247e+01,4.092727219681842499e+00
6.125000000000000000e+04,3.435508052062428419e+01,1.601040271138840732e+00
6.250000000000000000e+04,3.043951585174592722e+01,4.830594128308042023e+00
6.375000000000000000e+04,2.811495999119425448e+01,4.369913874232502771e+00
6.500000000000000000e+04,3.162343115677415639e+01,5.384175270823897463e+00
6.625000000000000000e+04,3.264405267439812519e+01,3.712268799762691085e+00
6.750000000000000000e+04,2.969389666254288684e+01,4.745493061505608345e+00
6.875000000000000000e+04,3.045115327479971157e+01,4.555952188112633472e+00
7.000000000000000000e+04,3.423939665271345945e+01,8.298897334920525282e+00
7.125000000000000000e+04,3.578443902059753157e+01,5.998812057884891580e+00
7.250000000000000000e+04,3.662800952626378148e+01,5.111449856141497605e+00
7.375000000000000000e+04,3.284906560229527628e+01,5.669115786256617717e+00
7.500000000000000000e+04,0.000000000000000000e+00,2.304290783984229485e+00
7.625000000000000000e+04,1.057679834135096364e+00,2.757095792959497249e+00
7.750000000000000000e+04,4.529507878537497589e-01,3.422855408519152043e+00
7.875000000000000000e+04,2.443922101949985048e+00,3.030930470931226584e+00
8.000000000000000000e+04,5.921698113771665994e+00,3.674081186807499844e+00
8.125000000000000000e+04,3.426087471838393572e+00,2.662419494723812896e+00
8.250000000000000000e+04,5.130902309673900596e+00,3.753757220350916857e+00
8.375000000000000000e+04,7.212405349663873366e+00,3.530667578292259190e+00
8.500000000000000000e+04,6.777292256499750422e+00,3.568473122965185151e+00
8.625000000000000000e+04,6.740958095913640591e+00,5.697934641251284127e+00
8.750000000000000000e+04,9.083497830758243907e+00,2.461158936457415791e+00
8.875000000000000000e+04,1.304193472748921323e+01,5.878482931770559361e+00
9.000000000000000000e+04,1.184319360878327032e+01,6.413628246300708824e+00
9.125000000000000000e+04,1.012623964561230672e+01,5.091463261610625679e+00
9.250000000000000000e+04,1.320343207879582259e+01,6.100904582020194589e+00
9.375000000000000000e+04,1.227276091954410475e+01,3.137626115124303450e+00
9.500000000000000000e+04,1.477574205399660734e+01,3.032079227972046542e+00
9.625000000000000000e+04,1.438601140557946856e+01,5.200426896473002714e+00
9.750000000000000000e+04,1.243755307788603659e+01,5.148857718653515825e+00
9.875000000000000000e+04,1.419678702657456348e+01,4.342240891252836299e+00
1.000000000000000000e+05,1.636102651077732517e+01,4.938535446907543758e+00
1.012500000000000000e+05,1.688293787031589943e+01,4.982744208336194802e+00
1.025000000000000000e+05,1.613536682508696174e+01,3.368355063057201004e+00
1.037500000000000000e+05,1.807393476661232867e+01,5.801701041834035344e+00
1.050000000000000000e+05,1.577118760221869742e+01,4.456346620070713804e+00
1.062500000000000000e+05,1.697778503026571784e+01,4.221874840044170796e+00
1.075000000000000000e+05,1.778735127267546545e+01,3.592699981088285366e+00
1.087500000000000000e+05,1.435673534134412321e+01,2.506927641093951831e+00
1.100000000000000000e+05,2.010825110934835536e+01,3.913431151940293340e+00
1.112500000000000000e+05,1.800084509707762948e+01,4.613524563747253282e+00
1.125000000000000000e+05,1.965843478551481738e+01,4.540019359683045153e+00
1.137500000000000000e+05,1.803454926470768882e+01,3.591249402503272847e+00
1.150000000000000000e+05,2.186927091524042055e+01,2.326596453868928549e+00
1.162500000000000000e+05,2.017049049463057386e+01,2.567344575706404619e+00
1.175000000000000000e+05,1.985124816515121182e+01,4.649423429516743589e+00
1.187500000000000000e+05,2.344537341066362046e+01,3.296006129068800306e+00
1.200000000000000000e+05,2.031586464691455518e+01,2.420370223384932906e+00
1.212500000000000000e+05,1.836831459301420821e+01,2.639026228986988798e+00
1.225000000000000000e+05,2.456846076696930581e+01,3.160432034307742555e+00
1.237500000000000000e+05,2.115846350521206176e+01,3.405544592733686926e+00
1.250000000000000000e+05,2.027646044345450704e+01,4.503045894436017882e+00
1.262500000000000000e+05,2.182823798865128850e+01,5.833944802957218734e+00
1.275000000000000000e+05,2.524183700976436384e+01,2.950386264216969590e+00
1.287500000000000000e+05,2.374457619965991029e+01,3.618282990048788506e+00
1.300000000000000000e+05,2.133523671455222015e+01,4.393546544782833685e+00
1.312500000000000000e+05,2.339146439130912114e+01,4.088882746580736693e+00
1.325000000000000000e+05,2.828862246413203962e+01,3.321070937900656883e+00
1.337500000000000000e+05,2.528489547065819920e+01,2.861136018343533038e+00
1.350000000000000000e+05,2.612287354154911867e+01,3.775234501859412450e+00
1.362500000000000000e+05,2.297414455747836826e+01,4.436978197069957552e+00
1.375000000000000000e+05,2.364010195328360098e+01,4.634012427982498572e+00
1.387500000000000000e+05,2.822830554074871756e+01,3.625812639530796577e+00
1.400000000000000000e+05,2.352866739492275983e+01,4.042923318360654328e+00
1.412500000000000000e+05,2.526169215256456013e+01,6.766803141295267388e+00
1.425000000000000000e+05,2.616464248242245461e+01,4.391775131873015603e+00
1.437500000000000000e+05,2.610197657032227170e+01,5.030770923748349333e+00
1.450000000000000000e+05,2.434705132771571812e+01,5.036356840383010791e+00
1.462500000000000000e+05,2.665214913723463042e+01,8.046019129601518216e+00
1.475000000000000000e+05,2.399948531566449006e+01,5.259884805893172199e+00
1.487500000000000000e+05,2.274341950868124940e+01,4.099758849726593546e+00
1.500000000000000000e+05,0.000000000000000000e+00,2.665112702718253956e+00
1.512500000000000000e+05,1.507473403046995841e+00,2.707072662090363124e+00
1.525000000000000000e+05,1.559270645740907124e+00,2.253143939932711781e+00
1.537500000000000000e+05,3.690075696024098573e+00,1.996527043673286705e+00
1.550000000000000000e+05,2.364552225295078358e+00,2.859312522970145043e+00
1.562500000000000000e+05,6.730819504507136841e+00,2.269843304201851097e+00
1.575000000000000000e+05,9.211129602955750784e+00,2.437348769181415076e+00
1.587500000000000000e+05,4.272700391161061262e+00,3.918595166460746793e+00
1.600000000000000000e+05,6.989714724027757065e+00,4.124186654812548980e+00
1.612500000000000000e+05,8.576719698821515081e+00,1.611905002532717734e+00
1.625000000000000000e+05,8.203890742931994495e+00,2.423392347637278288e+00
1.637500000000000000e+05,1.190468875378748770e+01,4.359233596853226977e+00
1.650000000000000000e+05,1.510429654778597097e+01,3.900305655483642830e+00
1.662500000000000000e+05,1.319248834369809842e+01,5.138580694874456789e+00
1.675000000000000000e+05,1.639584326222222188e+01,4.999575808976959301e+00
1.687500000000000000e+05,1.462306773032671714e+01,5.019527068082394905e+00
1.700000000000000000e+05,1.587471987211376501e+01,3.890849633380952799e+00
1.712500000000000000e+05,1.474576203953144038e+01,3.150706315578255978e+00
1.725000000000000000e+05,1.691719368008859803e+01,3.196893543304480279e+00
1.737500000000000000e+05,1.493578748705133563e+01,4.691840524355350261e+00
1.750000000000000000e+05,2.002031770725301385e+01,4.257512679766453978e+00
