timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,3.527544006909050456e+00
1.250000000000000000e+03,1.922926414351904478e+00,3.344120795136425350e+00
2.500000000000000000e+03,7.725909728334019455e+00,5.293753747789086361e+00
3.750000000000000000e+03,9.370887298594890780e+00,4.467932792134797104e+00
5.000000000000000000e+03,1.024511722825198490e+01,4.318638297107878721e+00
6.250000000000000000e+03,1.637509261164529661e+01,7.216009578880863806e+00
7.500000000000000000e+03,1.711835070011559523e+01,6.850914672334051048e+00
8.750000000000000000e+03,1.889793709635732100e+01,7.139170323375666705e+00
1.000000000000000000e+04,1.963022159529153399e+01,6.353461793370200894e+00
1.125000000000000000e+04,2.523867678774048784e+01,6.874841838934162119e+00
1.250000000000000000e+04,2.787943235651646745e+01,7.575717163423878908e+00
1.375000000000000000e+04,2.594140611014163866e+01,4.847824303269730351e+00
1.500000000000000000e+04,2.917914334897085027e+01,5.733137847679260268e+00
1.625000000000000000e+04,3.086871042368595042e+01,1.398491592365475356e+01
1.750000000000000000e+04,3.328184517295645861e+01,7.270004724716027766e+00
1.875000000000000000e+04,3.224759083089493572e+01,7.157260618854447642e+00
2.000000000000000000e+04,3.977106930236696769e+01,5.840675313293159476e+00
2.125000000000000000e+04,3.762931889162070576e+01,3.457915462450435573e+00
2.250000000000000000e+04,4.006437148468803144e+01,4.939948632895301728e+00
2.375000000000000000e+04,3.878488367218280075e+01,3.277266298912905551e+00
2.500000000000000000e+04,4.470935555854954657e+01,2.390838202037473437e+00
2.625000000000000000e+04,4.241893605185790506e+01,4.761820075921120221e+00
2.750000000000000000e+04,3.886625478571959036e+01,4.949577699678797238e+00
2.875000000000000000e+04,4.537986126667097864e+01,4.783947725394047445e+00
3.000000000000000000e+04,4.413210394528593383e+01,4.783657488389677859e+00
3.125000000000000000e+04,4.289300505189952872e+01,3.716831064244158878e+00
3.250000000000000000e+04,4.565704769649176598e+01,2.939934382532509272e+00
3.375000000000000000e+04,4.467198347764838928e+01,3.470068560423453796e+00
3.500000000000000000e+04,4.854903355928329489e+01,2.987290901026232959e+00
3.625000000000000000e+04,4.898517396337675933e+01,3.735816166206253008e+00
3.750000000000000000e+04,4.556880832605894227e+01,4.664976449001259518e+00
3.875000000000000000e+04,5.022661157150761824e+01,4.573911466496275224e+00
4.000000000000000000e+04,5.152259899284754141e+01,4.750452166762217487e+00
4.125000000000000000e+04,4.492922508235086099e+01,4.587983053359281804e+00
4.250000000000000000e+04,5.299116656033729811e+01,5.637586992080700909e+00
4.375000000000000000e+04,5.213892123102532139e+01,9.262229490470176074e+00
4.500000000000000000e+04,5.287125188484698413e+01,1.055875350268282631e+01
4.625000000000000000e+04,5.446497438881529263e+01,6.923899966299415176e+00
4.750000000000000000e+04,5.187676716570280888e+01,5.567063985092928213e+00
4.875000000000000000e+04,5.058152173850713496e+01,6.735972338650847213e+00
5.000000000000000000e+04,5.337925639036134129e+01,9.527125527727617893e+00
5.125000000000000000e+04,5.261694211389857401e+01,1.138207244849648880e+01
5.250000000000000000e+04,5.412334584463729215e+01,9.446209825458742770e+00
5.375000000000000000e+04,4.883859274724124333e+01,1.516724348025541858e+01
5.500000000000000000e+04,5.291324240777052523e+01,4.673013384758533562e+00
5.625000000000000000e+04,5.916666159457818708e+01,9.022149999489771588e+00
5.750000000000000000e+04,5.495573313825987327e+01,1.241743071613192662e+01
5.875000000000000000e+04,5.641583920903760685e+01,1.197026849089754741e+01
6.000000000000000000e+04,5.529328868748153525e+01,7.897169259542683228e+00
6.125000000000000000e+04,5.410324338543313161e+01,5.848685981339462714e+00
6.250000000000000000e+04,5.666506531664017388e+01,5.193081516051333502e+00
6.375000000000000000e+04,5.662658622780518414e+01,4.289668601723596986e+00
6.500000000000000000e+04,5.459450233945258191e+01,4.556212963846788533e+00
6.625000000000000000e+04,5.506409095986415281e+01,5.067479219244352073e+00
6.750000000000000000e+04,5.692762343511950718e+01,4.500869370419254167e+00
6.875000000000000000e+04,5.411361493868042061e+01,3.021779604832405042e+00
7.000000000000000000e+04,5.414590193888005132e+01,2.890409326796089751e+00
7.125000000000000000e+04,5.829497262743750952e+01,5.458716532131271393e+00
7.250000000000000000e+04,5.835692849056651710e+01,3.478172079686089546e+00
7.375000000000000000e+04,5.577322535602365861e+01,5.454248476257015810e+00
7.500000000000000000e+04,0.000000000000000000e+00,3.981617311845019103e+00
7.625000000000000000e+04,4.584835177478337798e+00,3.638323886957787412e+00
7.750000000000000000e+04,6.389457574290654307e+00,6.061537436875420681e+00
7.875000000000000000e+04,7.094555473923337630e+00,3.082127794498763507e+00
8.000000000000000000e+04,1.204996544227955191e+01,5.357805965122880210e+00
