timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,1.250678155267148428e+00
6.250000000000000000e+02,3.677369429196088113e+00,3.218234824908250857e+00
1.250000000000000000e+03,4.481881152665479817e+00,2.443152418394218817e+00
1.875000000000000000e+03,7.540155020694663257e+00,2.363952858698211923e+00
2.500000000000000000e+03,1.123910171854126538e+01,2.669028038893154431e+00
3.125000000000000000e+03,1.179579365218382314e+01,1.840410261758804955e+00
3.750000000000000000e+03,1.521866668125737299e+01,3.240396632696894486e+00
4.375000000000000000e+03,1.622268025823683857e+01,2.521230356495061553e+00
5.000000000000000000e+03,1.915400559639089551e+01,2.397291710071185911e+00
5.625000000000000000e+03,1.636845839665899760e+01,1.285677536391309994e+00
6.250000000000000000e+03,1.852773686076250925e+01,1.661041029520253787e+00
6.875000000000000000e+03,1.931686729419253012e+01,2.180776069097878800e+00
7.500000000000000000e+03,2.418476135987568298e+01,2.298371467198149887e+00
8.125000000000000000e+03,2.426347707247413865e+01,2.494799024718955316e+00
8.750000000000000000e+03,2.782381739802091758e+01,2.873680255129004379e+00
9.375000000000000000e+03,2.817750986327822460e+01,2.091380005758588734e+00
1.000000000000000000e+04,2.921391329422714023e+01,4.705662561555687518e+00
1.062500000000000000e+04,3.418690315170992022e+01,2.416615589192473212e+00
1.125000000000000000e+04,3.269354244312199853e+01,2.586737377595628384e+00
1.187500000000000000e+04,3.279615618109687603e+01,3.447449418714009006e+00
1.250000000000000000e+04,3.227258896805857091e+01,3.150536310530013040e+00
1.312500000000000000e+04,3.734613860670385321e+01,3.454188500356106140e+00
1.375000000000000000e+04,3.803720969018276321e+01,4.207275530908664685e+00
1.437500000000000000e+04,3.544623746876217751e+01,4.889809502281949882e+00
1.500000000000000000e+04,3.818594142286384852e+01,4.941284930748948589e+00
1.562500000000000000e+04,3.988399016434193811e+01,2.453033414616179186e+00
1.625000000000000000e+04,3.747958492565906852e+01,4.460039253417256155e+00
1.687500000000000000e+04,4.087017525626187364e+01,4.661503397952451166e+00
1.750000000000000000e+04,4.479820262297356237e+01,3.261210111907146825e+00
1.812500000000000000e+04,4.025012271019117804e+01,1.819584242723104150e+00
1.875000000000000000e+04,4.488867575931540443e+01,5.057495120011682666e+00
1.937500000000000000e+04,4.823089993608181203e+01,2.940163061421807722e+00
2.000000000000000000e+04,4.449711336489450275e+01,3.142302056078233985e+00
2.062500000000000000e+04,4.556204448115777694e+01,4.454561283607992195e+00
2.125000000000000000e+04,4.750806384610321231e+01,2.888007288919066440e+00
2.187500000000000000e+04,4.875511471142391429e+01,3.556999020978033332e+00
2.250000000000000000e+04,4.923270820104063716e+01,4.324712481907015516e+00
2.312500000000000000e+04,4.645941275757309086e+01,4.098897360063395112e+00
2.375000000000000000e+04,4.844944373907287627e+01,4.424126161573516569e+00
2.437500000000000000e+04,5.062724648596797294e+01,3.269635529199848012e+00
2.500000000000000000e+04,5.047297105533898076e+01,3.386848724330317584e+00
2.562500000000000000e+04,5.367169351773232933e+01,4.830445788025704346e+00
2.625000000000000000e+04,5.160176867906476161e+01,4.172367515850796238e+00
2.687500000000000000e+04,5.205520644317435597e+01,3.874853685673428139e+00
2.750000000000000000e+04,5.657211991284697916e+01,4.834609872207255243e+00
2.812500000000000000e+04,5.359945287262971192e+01,4.035233721306819454e+00
2.875000000000000000e+04,5.246835397830592740e+01,2.592121348073964437e+00
2.937500000000000000e+04,5.469836978667027694e+01,2.679114663137191155e+00
3.000000000000000000e+04,5.473809243739636798e+01,3.960475066346091477e+00
3.062500000000000000e+04,5.687451646308382180e+01,3.787283271573200771e+00
3.125000000000000000e+04,5.683379249778027287e+01,5.047724490280776521e+00
3.187500000000000000e+04,5.582818854642344775e+01,3.043633390450000142e+00
3.250000000000000000e+04,5.612992487357077920e+01,3.709486827334908199e+00
3.312500000000000000e+04,5.624882515918376669e+01,4.416966836774657068e+00
3.375000000000000000e+04,6.000241304722042912e+01,3.054062459432098642e+00
3.437500000000000000e+04,6.155513373410094857e+01,3.397392238556787181e+00
3.500000000000000000e+04,5.816790727452787024e+01,3.090050806667387739e+00
3.562500000000000000e+04,5.961984239709443045e+01,4.139178718810878621e+00
3.625000000000000000e+04,5.957129200766627974e+01,2.208232445353153217e+00
3.687500000000000000e+04,5.831232264285806366e+01,3.952529635856302903e+00
3.750000000000000000e+04,5.859132035498451785e+01,3.448463804986538150e+00
3.812500000000000000e+04,5.895549442413411612e+01,3.101194037255189162e+00
