timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,1.412332900016273651e+00
6.250000000000000000e+02,1.683720476353846474e+00,2.121979407173946619e+00
1.250000000000000000e+03,2.596978666341644537e+00,1.777949558772691896e+00
1.875000000000000000e+03,7.966493682806627952e+00,2.869113511151361706e+00
2.500000000000000000e+03,3.565034744871605987e+00,2.461592042379473710e+00
3.125000000000000000e+03,8.155714059082688649e+00,1.703500347641971890e+00
3.750000000000000000e+03,9.107852808119673682e+00,2.480195409382903726e+00
4.375000000000000000e+03,7.396784323971441921e+00,1.323969251766251798e+00
5.000000000000000000e+03,1.037525615307023763e+01,3.399096076989292392e+00
5.625000000000000000e+03,1.161426494604315529e+01,1.735281606435296942e+00
6.250000000000000000e+03,1.131736749778114159e+01,3.107526530077956650e+00
6.875000000000000000e+03,1.611192194542335088e+01,2.632705637400419629e+00
7.500000000000000000e+03,1.547830204238396945e+01,3.045489725972231110e+00
8.125000000000000000e+03,1.702694725952544630e+01,3.707932583042698571e+00
8.750000000000000000e+03,1.945234117865381052e+01,3.335153785083024847e+00
9.375000000000000000e+03,1.811103281615629967e+01,1.867002817321131047e+00
1.000000000000000000e+04,2.176918230257659914e+01,3.196018367383361536e+00
1.062500000000000000e+04,1.876251314567617001e+01,4.033983657280651336e+00
1.125000000000000000e+04,2.128214879788275837e+01,3.381973650630654138e+00
1.187500000000000000e+04,2.264781479111568885e+01,3.425909713281944491e+00
1.250000000000000000e+04,2.169564854204452331e+01,5.182455046904759222e+00
1.312500000000000000e+04,2.251228205636491353e+01,4.509817284548478078e+00
1.375000000000000000e+04,2.535564687157021524e+01,1.784837743046516545e+00
1.437500000000000000e+04,2.358963758397076305e+01,2.478628855877712311e+00
1.500000000000000000e+04,2.587491376082687466e+01,4.177733998583653019e+00
1.562500000000000000e+04,2.483338043528718231e+01,5.302194753785860470e+00
1.625000000000000000e+04,3.006174894112694318e+01,5.185081368856991446e+00
1.687500000000000000e+04,3.074771218568021425e+01,4.340768578328661143e+00
1.750000000000000000e+04,2.942595774264369268e+01,3.202931950318906207e+00
1.812500000000000000e+04,2.931557038803151727e+01,4.005997559846964151e+00
1.875000000000000000e+04,2.881187850869987699e+01,3.697525695212365182e+00
1.937500000000000000e+04,3.279833819194985267e+01,3.149096175094430183e+00
2.000000000000000000e+04,3.362310049623069830e+01,3.381219050400962267e+00
2.062500000000000000e+04,2.770480133089348840e+01,3.140214546718695487e+00
2.125000000000000000e+04,3.071303229430923665e+01,4.912961653556464192e+00
2.187500000000000000e+04,3.430503417427654966e+01,5.023801540573871627e+00
2.250000000000000000e+04,3.746906689995488193e+01,3.390222847927228056e+00
2.312500000000000000e+04,3.268067407488904763e+01,1.476250782878820056e+00
2.375000000000000000e+04,3.766597244646464304e+01,2.724246362696351120e+00
2.437500000000000000e+04,3.916221787526114184e+01,3.795952208735028588e+00
2.500000000000000000e+04,4.079950145246778703e+01,4.997608583313623676e+00
2.562500000000000000e+04,3.709209348896318659e+01,6.871548200623619485e-01
2.625000000000000000e+04,4.030248690614838836e+01,4.649051510585463731e+00
2.687500000000000000e+04,3.579693118321341672e+01,3.642099900251098088e+00
2.750000000000000000e+04,3.919938506626414920e+01,2.425928032151346336e+00
2.812500000000000000e+04,3.748800365282473024e+01,2.041426015929383997e+00
2.875000000000000000e+04,3.888583765775259593e+01,3.818398257052336930e+00
2.937500000000000000e+04,4.061304834363306782e+01,3.437670840495201663e+00
3.000000000000000000e+04,3.898258025975581376e+01,2.519510019154254543e+00
3.062500000000000000e+04,4.236097718210864116e+01,3.254358360048541954e+00
3.125000000000000000e+04,4.135278771681679189e+01,3.306187480200557971e+00
3.187500000000000000e+04,4.240780931630217765e+01,3.044607985898653890e+00
3.250000000000000000e+04,4.164315699625323930e+01,3.037418561980976595e+00
3.312500000000000000e+04,4.268808131438592568e+01,3.139938548197902080e+00
3.375000000000000000e+04,4.517940198711622912e+01,4.922360535321387509e+00
3.437500000000000000e+04,4.288993710338989018e+01,6.350029986862583797e+00
3.500000000000000000e+04,4.174045450697370541e+01,4.391665326842436379e+00
3.562500000000000000e+04,4.557641479793538508e+01,1.980099935161227398e+00
3.625000000000000000e+04,4.200302043401842411e+01,3.772844403596871565e+00
3.687500000000000000e+04,4.436402758204348373e+01,3.064272058022870393e+00
3.750000000000000000e+04,4.559338408738223336e+01,3.989445979916323104e+00
3.812500000000000000e+04,4.544821566946554725e+01,2.333403657006254850e+00
3.875000000000000000e+04,4.554706412761957779e+01,4.699076972557302945e+00
3.937500000000000000e+04,4.454023715503804937e+01,2.232376639921740402e+00
4.000000000000000000e+04,4.577745652308975366e+01,2.860812376513734101e+00
4.062500000000000000e+04,4.493553979527785458e+01,3.832616083997004264e+00
4.125000000000000000e+04,4.517186290983620012e+01,2.572633793632608246e+00
4.187500000000000000e+04,4.791388773611475216e+01,3.617738593932900315e+00
4.250000000000000000e+04,4.437805487586199860e+01,1.893606945531590924e+00
4.312500000000000000e+04,4.886555900405942054e+01,3.736027383924317657e+00
4.375000000000000000e+04,4.685269869729947345e+01,3.184496985556787507e+00
4.437500000000000000e+04,4.998927880910598276e+01,2.356473530736364452e+00
4.500000000000000000e+04,4.394937714775721105e+01,2.866216863860224340e+00
4.562500000000000000e+04,4.460991846304872865e+01,2.730350984300941253e+00
4.625000000000000000e+04,4.721919129172292173e+01,1.687133819759326192e+00
4.687500000000000000e+04,4.850857679497087105e+01,1.879161869354206704e+00
4.750000000000000000e+04,4.656731448684766406e+01,3.448102855602344086e+00
4.812500000000000000e+04,4.694170533816691204e+01,3.564054657665235215e+00
4.875000000000000000e+04,4.685527463061500697e+01,2.987329744266006948e+00
4.937500000000000000e+04,5.033635855690657479e+01,2.299304173925265538e+00
5.000000000000000000e+04,4.678135509796808833e+01,1.910915070275176042e+00
5.062500000000000000e+04,4.400242865465900621e+01,2.088600043046054289e+00
5.125000000000000000e+04,4.781984129608225942e+01,1.958344481493483391e+00
5.187500000000000000e+04,4.854924299590926751e+01,1.906367256515219877e+00
5.250000000000000000e+04,5.001483399654887307e+01,2.184785462661880118e+00
5.312500000000000000e+04,4.932661402390382221e+01,2.004078730636424055e+00
5.375000000000000000e+04,4.916521725883870886e+01,3.784564409700778675e+00
5.437500000000000000e+04,4.848265725593301312e+01,2.037823972150539120e+00
5.500000000000000000e+04,5.001044288427766560e+01,1.712767072731333329e+00
5.562500000000000000e+04,4.903632046971295466e+01,2.267803202903462267e+00
5.625000000000000000e+04,4.767528482013692326e+01,2.926949461375477846e+00
5.687500000000000000e+04,4.944483141402793080e+01,3.208553288711181395e+00
5.750000000000000000e+04,4.967307850915125300e+01,3.277822053883237885e+00
5.812500000000000000e+04,5.370527570800242501e+01,2.108237377906902132e+00
5.875000000000000000e+04,5.194997512860188493e+01,1.228762328608642207e+00
5.937500000000000000e+04,5.110549197800075660e+01,2.347667922025193032e+00
6.000000000000000000e+04,4.987831300164658899e+01,2.170760811589847350e+00
6.062500000000000000e+04,5.203749372588555389e+01,1.632346774124019406e+00
6.125000000000000000e+04,5.160079760283479544e+01,2.989488855860249039e+00
6.187500000000000000e+04,4.930235883297891775e+01,2.632222775099327894e+00
6.250000000000000000e+04,5.027671984985014575e+01,2.309292717815989437e+00
6.312500000000000000e+04,5.258196248240168558e+01,2.933457025467967494e+00
6.375000000000000000e+04,4.879207552336356457e+01,2.481608293361734940e+00
6.437500000000000000e+04,4.848466084298037515e+01,3.311863292894991595e+00
6.500000000000000000e+04,4.813653772693247390e+01,3.069437038542942808e+00
6.562500000000000000e+04,5.371179481819940094e+01,3.631360050448982690e+00
6.625000000000000000e+04,4.996302280212931635e+01,3.487177143116447109e+00
6.687500000000000000e+04,5.101930320559035437e+01,1.691255433476196002e+00
6.750000000000000000e+04,5.102308809797470701e+01,2.047772384177791061e+00
6.812500000000000000e+04,5.347003783864545312e+01,3.963182951740273907e+00
6.875000000000000000e+04,5.113216240308552329e+01,2.260640746560191428e+00
6.937500000000000000e+04,5.230779978311673517e+01,2.343697796438838576e+00
7.000000000000000000e+04,5.491575285384220706e+01,2.190904367010136244e+00
7.062500000000000000e+04,5.239216819561845284e+01,2.058898754460310343e+00
7.125000000000000000e+04,5.570992390327510435e+01,2.684752863430480918e+00
7.187500000000000000e+04,5.351039746349826487e+01,3.749341597578911500e+00
7.250000000000000000e+04,5.071337839194934816e+01,4.342988659759207337e+00
7.312500000000000000e+04,5.102273939042245843e+01,3.171948094706056320e+00
7.375000000000000000e+04,5.253240283818237799e+01,3.606561248521145568e+00
7.437500000000000000e+04,4.956859260157104075e+01,2.481268110248998404e+00
7.500000000000000000e+04,0.000000000000000000e+00,1.770487383491965883e+00
7.562500000000000000e+04,2.733689001579233668e+00,1.738256306692249176e+00
7.625000000000000000e+04,2.033383768863945118e+00,2.209514193321448161e+00
7.687500000000000000e+04,3.524009706489197313e+00,2.622225116357905783e+00
7.750000000000000000e+04,6.160462226843096190e+00,2.332022130405837501e+00
7.812500000000000000e+04,6.380431976292069152e+00,2.420664668270064102e+00
7.875000000000000000e+04,8.098657303094279669e+00,1.692304734287987555e+00
7.937500000000000000e+04,1.178040174557539466e+01,2.460493275695538440e+00
8.000000000000000000e+04,7.826790019093333939e+00,2.318535763479954159e+00
8.062500000000000000e+04,1.395905806859614806e+01,2.625404055462227770e+00
8.125000000000000000e+04,1.154186896783056859e+01,3.205461994408103976e+00
8.187500000000000000e+04,1.204417565221537778e+01,2.871329124119863963e+00
8.250000000000000000e+04,1.243184537358829544e+01,1.594585786524874704e+00
8.312500000000000000e+04,1.511960573343214165e+01,4.075771646346702859e+00
8.375000000000000000e+04,1.249423691400308201e+01,3.137714998807937583e+00
8.437500000000000000e+04,1.803604477730527123e+01,3.003195526168906060e+00
8.500000000000000000e+04,1.817153381592987316e+01,2.971434595757776798e+00
8.562500000000000000e+04,1.442979686028447261e+01,4.052729306623494843e+00
8.625000000000000000e+04,1.640608835352634642e+01,3.268534327686925867e+00
8.687500000000000000e+04,1.887388361389866986e+01,2.868631284146206273e+00
8.750000000000000000e+04,1.922064709731763799e+01,3.601111084556171793e+00
8.812500000000000000e+04,2.201151096133339280e+01,4.398841703693774363e+00
8.875000000000000000e+04,2.112422107792187020e+01,2.754021373416817298e+00
8.937500000000000000e+04,2.557701182004459639e+01,3.970948463170759446e+00
9.000000000000000000e+04,2.161016770279769972e+01,4.450938433543614181e+00
9.062500000000000000e+04,2.177047822099315511e+01,4.724400325954228208e+00
9.125000000000000000e+04,2.307651778595938552e+01,3.254221148726318180e+00
9.187500000000000000e+04,2.382761829496664419e+01,4.143161379400589261e+00
9.250000000000000000e+04,2.371058207163034126e+01,3.918786272866825460e+00
9.312500000000000000e+04,2.273457375635058497e+01,6.216066614269144530e+00
9.375000000000000000e+04,2.251529305802937131e+01,1.951553680795101942e+00
9.437500000000000000e+04,2.696608694641197701e+01,3.518938667209032367e+00
9.500000000000000000e+04,2.684996025201060377e+01,4.097260794665606554e+00
9.562500000000000000e+04,2.456387040467357608e+01,5.091476953866767019e+00
9.625000000000000000e+04,2.771612453528820552e+01,3.694818181209257091e+00
9.687500000000000000e+04,3.253748476120191668e+01,5.853127778047320540e+00
9.750000000000000000e+04,3.151530166873089911e+01,3.170652540247010709e+00
9.812500000000000000e+04,2.790666101524315934e+01,3.677277614166323261e+00
9.875000000000000000e+04,3.014625321296562177e+01,5.108939156900616396e+00
9.937500000000000000e+04,2.970018616977504422e+01,3.356156581313867182e+00
1.000000000000000000e+05,3.022882283203873754e+01,3.412203595788297683e+00
1.006250000000000000e+05,2.855891776482290823e+01,2.804464968632176092e+00
1.012500000000000000e+05,3.015077257659843823e+01,4.515581216491601602e+00
1.018750000000000000e+05,3.443910345016763586e+01,3.782407553065992190e+00
1.025000000000000000e+05,3.380516421376339053e+01,3.922465546072269937e+00
1.031250000000000000e+05,2.957600243577518384e+01,3.261209541338631279e+00
1.037500000000000000e+05,3.452733558745551079e+01,5.932288498831225887e+00
1.043750000000000000e+05,3.267609982787053013e+01,4.688292127467962978e+00
1.050000000000000000e+05,3.334435164663711504e+01,4.798411349704401196e+00
1.056250000000000000e+05,3.323243037233147135e+01,2.461173047196734576e+00
1.062500000000000000e+05,3.003989871417989832e+01,5.282294612130849387e+00
1.068750000000000000e+05,3.437915590919752873e+01,2.968480641025259104e+00
1.075000000000000000e+05,3.534877689848615034e+01,4.277119740658617886e+00
1.081250000000000000e+05,3.544468989305404705e+01,2.256138009937030731e+00
1.087500000000000000e+05,3.146250160626567549e+01,4.661706313893100528e+00
1.093750000000000000e+05,3.694371424480007704e+01,3.373654689021531095e+00
1.100000000000000000e+05,3.363382665493599433e+01,3.447125509013711842e+00
1.106250000000000000e+05,3.556333592507208863e+01,2.702748316673824647e+00
1.112500000000000000e+05,3.415938378199678027e+01,5.851149067784334079e+00
1.118750000000000000e+05,3.479508031729918116e+01,3.805275490301936347e+00
1.125000000000000000e+05,3.469968307865221391e+01,4.755142918973228383e+00
1.131250000000000000e+05,3.741903957199053821e+01,3.162325180922739509e+00
1.137500000000000000e+05,3.743452341878126788e+01,4.151350316561077669e+00
1.143750000000000000e+05,3.480109738480758352e+01,3.776730014705188321e+00
1.150000000000000000e+05,3.552937655975440379e+01,4.584278118828565063e+00
1.156250000000000000e+05,3.835870746949165522e+01,4.923227829270770073e+00
1.162500000000000000e+05,3.497239963708979360e+01,3.323436761457176036e+00
1.168750000000000000e+05,3.641920569697258969e+01,5.451177008664218171e+00
1.175000000000000000e+05,3.792423027786347234e+01,2.146714925699024334e+00
1.181250000000000000e+05,3.859653568214142183e+01,2.519139734990544444e+00
1.187500000000000000e+05,3.702452916695519747e+01,4.385159049656369490e+00
1.193750000000000000e+05,3.862829489701582730e+01,3.324258222658212247e+00
1.200000000000000000e+05,3.850622406680891174e+01,4.187409257501491844e+00
1.206250000000000000e+05,4.095288686464098760e+01,3.141332930579696647e+00
1.212500000000000000e+05,4.074926804880853126e+01,3.078663274025465579e+00
1.218750000000000000e+05,3.937226430996856408e+01,4.669307117615822733e+00
1.225000000000000000e+05,3.821027734791622521e+01,1.866941375575926765e+00
1.231250000000000000e+05,3.890836248776964368e+01,3.124879477550434270e+00
1.237500000000000000e+05,3.872412176517697446e+01,2.543784276582279347e+00
1.243750000000000000e+05,3.876630930920519802e+01,3.445369445459578905e+00
1.250000000000000000e+05,4.212142777222692303e+01,3.345348962314040886e+00
1.256250000000000000e+05,4.041900804955130866e+01,1.994854082816130969e+00
1.262500000000000000e+05,4.091844455288436677e+01,2.724063605890270523e+00
1.268750000000000000e+05,4.262230245037302723e+01,2.655094205214112879e+00
1.275000000000000000e+05,3.934147568726098143e+01,3.484504200167685806e+00
1.281250000000000000e+05,4.058139673200226127e+01,2.807305398099146476e+00
1.287500000000000000e+05,3.894601274904887589e+01,2.037170580453707913e+00
1.293750000000000000e+05,4.231289483048030320e+01,2.446058573224048072e+00
1.300000000000000000e+05,3.898752590064724899e+01,2.037845473157168463e+00
1.306250000000000000e+05,4.138003132937395634e+01,2.482197480293899083e+00
1.312500000000000000e+05,3.968910159610333466e+01,2.521251752862740947e+00
1.318750000000000000e+05,3.981936970495821981e+01,1.716275275005970435e+00
1.325000000000000000e+05,4.156209296573217671e+01,3.757846303556251044e+00
1.331250000000000000e+05,4.286590613206309541e+01,3.026479404284482477e+00
1.337500000000000000e+05,4.347130012892058204e+01,2.296198763449301072e+00
1.343750000000000000e+05,4.129746434283634215e+01,1.793664241232921341e+00
1.350000000000000000e+05,4.282716175191366403e+01,3.264258970018649286e+00
1.356250000000000000e+05,3.852196339567459660e+01,2.985046001129501470e+00
1.362500000000000000e+05,4.279801956563272824e+01,3.355532004402355550e+00
1.368750000000000000e+05,4.160793966579033309e+01,2.244056277439840930e+00
1.375000000000000000e+05,4.138748206074907898e+01,3.725433749922362203e+00
1.381250000000000000e+05,4.248744443586438990e+01,4.061974054718853644e+00
1.387500000000000000e+05,3.948192243045951955e+01,3.433306506868003982e+00
1.393750000000000000e+05,4.188293444904432761e+01,2.774403704928021686e+00
1.400000000000000000e+05,3.836057123312779282e+01,4.202950707491319271e+00
1.406250000000000000e+05,4.163881527186208586e+01,3.913846946148490602e+00
1.412500000000000000e+05,3.949178091185912365e+01,1.756820929204690573e+00
1.418750000000000000e+05,4.285941103061301050e+01,2.620382864422711844e+00
1.425000000000000000e+05,4.208204618365545713e+01,3.420842833767235636e+00
1.431250000000000000e+05,3.913887528878754551e+01,3.403501316139433630e+00
1.437500000000000000e+05,4.111673380018937962e+01,3.506341603487874714e+00
1.443750000000000000e+05,4.164678480516504777e+01,3.942059216164560453e+00
1.450000000000000000e+05,4.217165597507491981e+01,2.193676570033762818e+00
1.456250000000000000e+05,4.276431013175145779e+01,3.102436992637572999e+00
1.462500000000000000e+05,4.185274160142303401e+01,4.228205897060594687e+00
1.468750000000000000e+05,4.341461633629112526e+01,5.383306062176074214e+00
1.475000000000000000e+05,4.370796385407253837e+01,3.423560553168544018e+00
1.481250000000000000e+05,4.337929377475660431e+01,3.352225731068133818e+00
1.487500000000000000e+05,4.339743569306880033e+01,2.991733949267832759e+00
1.493750000000000000e+05,4.227875568798123851e+01,3.277837775860042768e+00
1.500000000000000000e+05,0.000000000000000000e+00,1.093521048258356831e+00
1.506250000000000000e+05,9.359212087004364911e-02,2.384154932518378622e+00
1.512500000000000000e+05,3.981763181389159634e-01,1.992004002579691679e+00
1.518750000000000000e+05,1.709887391605485529e+00,2.371304901613316307e+00
1.525000000000000000e+05,7.983731805185600550e+00,2.475633522366134542e+00
1.531250000000000000e+05,8.527706968848944413e+00,1.978317173388083106e+00
1.537500000000000000e+05,6.982976007632164084e+00,2.663256520714389453e+00
1.543750000000000000e+05,9.514596844449062729e+00,2.010256110610020297e+00
1.550000000000000000e+05,8.612525138837826333e+00,1.699922136425477959e+00
1.556250000000000000e+05,1.263025116690125671e+01,3.196514575002710856e+00
1.562500000000000000e+05,1.190441282464182216e+01,2.627055295359046916e+00
1.568750000000000000e+05,1.012607697795425565e+01,1.668008327496383059e+00
1.575000000000000000e+05,1.291637803106034177e+01,2.434091713864090067e+00
1.581250000000000000e+05,1.585517717342882982e+01,3.077500475743484287e+00
1.587500000000000000e+05,1.366215198878053627e+01,2.224893730505162814e+00
1.593750000000000000e+05,1.718861060025560050e+01,2.572880271259602836e+00
1.600000000000000000e+05,1.848476929900463617e+01,1.420856955953128997e+00
1.606250000000000000e+05,1.923628917088405288e+01,2.741463499423927974e+00
1.612500000000000000e+05,1.999669810548257232e+01,1.649422437949417342e+00
1.618750000000000000e+05,1.819292825741743513e+01,3.264252624887138410e+00
1.625000000000000000e+05,2.124264309693425901e+01,3.112245082712824740e+00
1.631250000000000000e+05,2.132858805461807350e+01,2.537276123729198751e+00
1.637500000000000000e+05,2.533135711808027324e+01,2.867239464749913758e+00
1.643750000000000000e+05,2.716957129602387511e+01,3.171674363857313050e+00
1.650000000000000000e+05,2.560313589058110395e+01,3.974907287966606084e+00
1.656250000000000000e+05,2.446299276414242740e+01,4.444950476720915589e+00
1.662500000000000000e+05,2.664456289414719947e+01,4.917959571666679075e+00
1.668750000000000000e+05,2.741247823374646586e+01,2.941242222749613777e+00
1.675000000000000000e+05,2.674237568229739992e+01,2.911614991067147162e+00
1.681250000000000000e+05,2.901899262294056570e+01,3.489904762317059372e+00
1.687500000000000000e+05,3.181053818764466712e+01,3.234024863391188109e+00
1.693750000000000000e+05,3.033329457932889994e+01,2.405028118924241287e+00
