timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,4.187721009500461555e+00
6.250000000000000000e+02,4.361688532081728020e+00,1.627491982378917346e+00
1.250000000000000000e+03,3.078188072138453357e+00,4.599277334542479778e+00
1.875000000000000000e+03,1.949737765915772192e+00,3.267428877350667449e+00
2.500000000000000000e+03,3.288738409486980707e+00,3.953089714110746833e+00
3.125000000000000000e+03,4.652470220530410039e+00,3.985285985308821388e+00
3.750000000000000000e+03,5.088222482700111016e+00,5.439046169969945943e+00
4.375000000000000000e+03,6.317255186570154279e+00,5.056970887889701949e+00
5.000000000000000000e+03,3.602743251842482231e+00,2.881081943733868833e+00
5.625000000000000000e+03,1.215415423332465572e+01,6.570958834451045227e+00
6.250000000000000000e+03,1.310670789238389133e+01,4.878958548994149602e+00
6.875000000000000000e+03,1.115574166057362682e+01,3.592009705907796224e+00
7.500000000000000000e+03,1.265948744093360112e+01,5.752867875782736284e+00
8.125000000000000000e+03,8.840870981635067238e+00,5.374751760385332311e+00
8.750000000000000000e+03,1.459446580347955269e+01,4.918266805530654651e+00
9.375000000000000000e+03,1.169325044512289757e+01,4.292861063921198372e+00
1.000000000000000000e+04,1.992903131760916580e+01,3.769964295259636167e+00
1.062500000000000000e+04,1.635411248683399066e+01,6.061690691394166386e+00
1.125000000000000000e+04,1.227538141955419349e+01,6.927483237354599588e+00
1.187500000000000000e+04,1.686987718759091948e+01,3.875441008920740060e+00
1.250000000000000000e+04,1.638139453932265965e+01,9.554873922500968675e+00
1.312500000000000000e+04,1.705698899091987641e+01,9.692013756464183061e+00
1.375000000000000000e+04,1.884237380166198861e+01,4.550812936806436504e+00
1.437500000000000000e+04,1.500266704720358923e+01,3.844504953133951908e+00
1.500000000000000000e+04,1.881845424579235626e+01,9.291366811133949355e+00
1.562500000000000000e+04,2.179764083305472155e+01,4.703542476998716637e+00
1.625000000000000000e+04,2.432167170935595735e+01,7.247021005879316746e+00
1.687500000000000000e+04,1.663935125300307405e+01,7.350277239595988554e+00
1.750000000000000000e+04,1.873450003182980339e+01,8.018572063374127978e+00
1.812500000000000000e+04,2.309763224368109746e+01,6.951075880129084616e+00
1.875000000000000000e+04,2.186632597998967853e+01,6.442357214989316461e+00
1.937500000000000000e+04,2.983478411833156585e+01,4.182443792469959121e+00
2.000000000000000000e+04,2.534048982264469529e+01,5.580457222103983206e+00
2.062500000000000000e+04,2.373098417385169867e+01,8.435367082727013965e+00
2.125000000000000000e+04,2.245089654658558587e+01,6.684310686989465289e+00
2.187500000000000000e+04,2.586642793047368372e+01,4.769829814596992179e+00
2.250000000000000000e+04,2.542652160357737756e+01,3.936406829258517703e+00
2.312500000000000000e+04,2.730788534836782233e+01,6.178318877518035102e+00
2.375000000000000000e+04,2.453827914635225582e+01,6.754277033799743535e+00
2.437500000000000000e+04,2.456875512286404728e+01,4.971955560268757068e+00
2.500000000000000000e+04,2.710478550494772421e+01,5.118337202803349584e+00
2.562500000000000000e+04,2.489967383474940377e+01,5.100915206191279694e+00
2.625000000000000000e+04,2.837381349784768858e+01,3.535696532465673947e+00
2.687500000000000000e+04,3.099543361480179016e+01,5.521712999143392864e+00
2.750000000000000000e+04,2.611239744104454630e+01,4.661196435791477022e+00
2.812500000000000000e+04,2.833169112049450078e+01,2.912469869633941943e+00
2.875000000000000000e+04,2.737029651359506488e+01,4.624334006802867769e+00
2.937500000000000000e+04,3.286650302135229396e+01,3.854101589793160976e+00
3.000000000000000000e+04,3.430890969977257043e+01,2.792555917971874191e+00
3.062500000000000000e+04,3.111037252798445962e+01,2.226674398862052762e+00
3.125000000000000000e+04,3.174698873297094437e+01,2.708336718473038918e+00
3.187500000000000000e+04,3.419793471454769218e+01,3.907222527614364616e+00
3.250000000000000000e+04,3.155961361913355745e+01,3.649134616174893875e+00
3.312500000000000000e+04,3.524158686013128516e+01,2.999475861256033493e+00
3.375000000000000000e+04,3.056140388239056449e+01,3.325913169905514888e+00
3.437500000000000000e+04,3.486231275407690333e+01,3.497815815710178189e+00
3.500000000000000000e+04,3.298464919479422974e+01,2.708490589930161008e+00
3.562500000000000000e+04,3.332384940243494498e+01,4.139549358017265313e+00
3.625000000000000000e+04,3.440745749883996041e+01,4.694410224455963565e+00
3.687500000000000000e+04,3.673091637947845101e+01,4.288006083585233164e+00
3.750000000000000000e+04,3.332791786017829594e+01,4.237238370346790184e+00
3.812500000000000000e+04,3.681725290379298343e+01,2.855699603666748132e+00
3.875000000000000000e+04,3.532916350835336772e+01,5.930814354200111715e+00
3.937500000000000000e+04,3.445074717184372304e+01,3.295140284568725431e+00
4.000000000000000000e+04,3.680373786360782162e+01,6.904901231199122691e+00
4.062500000000000000e+04,3.730501556173470590e+01,2.512844009683670610e+00
4.125000000000000000e+04,3.611090455075981254e+01,3.449085659486645916e+00
4.187500000000000000e+04,4.025702866662079771e+01,5.821953049737223829e+00
4.250000000000000000e+04,3.613091506805162112e+01,3.829843852101095347e+00
4.312500000000000000e+04,3.639676453326028138e+01,4.716810634669156066e+00
4.375000000000000000e+04,3.557594412807088702e+01,3.625563244875589675e+00
4.437500000000000000e+04,4.096336873511926768e+01,6.327735557247830656e+00
4.500000000000000000e+04,3.772642717844837534e+01,6.018213362728091376e+00
4.562500000000000000e+04,3.900666014471769927e+01,6.407872699250789061e+00
4.625000000000000000e+04,3.676801673220316502e+01,7.231464850214720741e+00
4.687500000000000000e+04,3.834266485073727893e+01,8.122498212652175198e+00
4.750000000000000000e+04,3.887575294015700678e+01,5.570545687261802215e+00
4.812500000000000000e+04,3.815770292349993298e+01,4.862186514997327791e+00
4.875000000000000000e+04,3.834790078018102122e+01,4.058994292107377611e+00
4.937500000000000000e+04,3.623431977425046568e+01,4.919690950166809351e+00
5.000000000000000000e+04,3.699214338059576335e+01,7.195813134783296761e+00
5.062500000000000000e+04,4.055831631942347570e+01,4.196490801545739835e+00
5.125000000000000000e+04,3.936721426345800978e+01,6.435363444034186919e+00
5.187500000000000000e+04,3.755378252328057442e+01,6.290101239645387921e+00
5.250000000000000000e+04,3.838121195492898607e+01,1.107521830267507035e+01
5.312500000000000000e+04,3.585850874780990694e+01,2.813724715771827700e+00
5.375000000000000000e+04,4.018809718806245002e+01,6.218810718047509845e+00
5.437500000000000000e+04,3.917068581585382248e+01,5.914938136252523293e+00
5.500000000000000000e+04,3.539751692094854718e+01,1.009931590594706208e+01
5.562500000000000000e+04,4.047390355363101122e+01,6.379290265522961967e+00
