timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,1.712075584520716509e+00
6.250000000000000000e+02,7.589395812371309002e-01,1.881858234777377792e+00
1.250000000000000000e+03,3.765571893516488799e+00,1.496743420316323903e+00
1.875000000000000000e+03,2.275453474310660695e+00,1.726346678727296968e+00
2.500000000000000000e+03,3.936996663911024985e+00,1.178850428519875759e+00
3.125000000000000000e+03,4.173626707038224914e+00,2.497602986093208965e+00
3.750000000000000000e+03,7.402257688096916866e+00,1.829310353357754826e+00
4.375000000000000000e+03,1.022532092955202820e+01,1.861736774718238507e+00
5.000000000000000000e+03,7.613481553611618935e+00,1.875243610857226351e+00
5.625000000000000000e+03,8.660885304820610031e+00,2.398566564637055532e+00
6.250000000000000000e+03,8.858289107230074677e+00,2.020541642668368443e+00
6.875000000000000000e+03,9.964678111478903588e+00,1.675093732236780708e+00
7.500000000000000000e+03,1.139984456137332636e+01,3.257946946305865676e+00
8.125000000000000000e+03,1.516356996040172334e+01,2.344475862901204799e+00
8.750000000000000000e+03,1.477142901111360196e+01,2.286274657532840315e+00
9.375000000000000000e+03,1.597350833575870865e+01,2.822829241422631696e+00
1.000000000000000000e+04,1.620134243013480102e+01,3.162150477806095594e+00
1.062500000000000000e+04,1.661440047949664489e+01,2.803606814833705219e+00
1.125000000000000000e+04,1.874604073822128925e+01,2.728805343988190746e+00
1.187500000000000000e+04,1.320902510649042050e+01,2.656969014493059777e+00
1.250000000000000000e+04,1.963325558884208277e+01,2.829994188966567403e+00
1.312500000000000000e+04,2.300170258745263752e+01,2.359045766939628752e+00
1.375000000000000000e+04,1.843917820974239774e+01,3.179384174308062860e+00
1.437500000000000000e+04,2.068974095775611843e+01,3.263728178107116129e+00
1.500000000000000000e+04,2.224874368781139111e+01,2.216921012438394456e+00
1.562500000000000000e+04,2.685330280149902649e+01,2.420132980189567462e+00
1.625000000000000000e+04,2.011259665878522185e+01,2.318801911006358463e+00
1.687500000000000000e+04,2.344087371171380596e+01,2.229882551721553696e+00
1.750000000000000000e+04,2.348565849251158966e+01,2.317640705568850379e+00
1.812500000000000000e+04,2.043185239588224533e+01,3.525140888622795288e+00
