timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,3.527544006909050456e+00
5.500000000000000000e+03,5.736248669393144155e+02,4.496095187961270057e+00
1.100000000000000000e+04,1.129525347079333187e+03,8.161997166138460713e+00
1.650000000000000000e+04,1.280884974850216395e+03,6.959036898076980115e+00
2.200000000000000000e+04,2.460498072436532311e+03,6.093716435143376131e+00
2.750000000000000000e+04,2.104609632514710484e+03,8.388578713090046435e+00
3.300000000000000000e+04,1.912273128545027248e+03,6.101634432908174865e+00
3.850000000000000000e+04,2.013698639096224042e+03,4.785115847095309682e+00
4.400000000000000000e+04,2.420684443071929309e+03,3.527851104598683563e+00
4.950000000000000000e+04,2.394122324074848621e+03,3.909481892599714126e+00
5.500000000000000000e+04,2.218978739988210236e+03,5.305670149874861963e+00
6.050000000000000000e+04,2.229537611735023347e+03,4.419777889176129904e+00
6.600000000000000000e+04,2.611430265644735755e+03,6.568623103960771203e+00
7.150000000000000000e+04,2.540917415065080149e+03,1.875080066343147323e+01
7.700000000000000000e+04,2.734166345585179442e+03,1.050906779045302919e+01
8.250000000000000000e+04,2.646006297307189016e+03,1.025326052042083447e+01
8.800000000000000000e+04,2.901415366747060943e+03,7.639852001231274059e+00
9.350000000000000000e+04,2.324219336291816035e+03,3.854932985393725975e+00
9.900000000000000000e+04,2.817609494022636682e+03,4.577940492493351776e+00
1.045000000000000000e+05,2.539830359011281416e+03,2.728494215818377366e+00
1.100000000000000000e+05,0.000000000000000000e+00,2.128713797752066927e+00
1.155000000000000000e+05,7.302015371094119018e+02,7.054712880381345030e+00
1.210000000000000000e+05,5.641771870531351851e+02,1.015459129748421674e+01
1.265000000000000000e+05,1.248121723632116073e+03,1.162007813889676555e+01
1.320000000000000000e+05,1.435629688056773603e+03,1.191459320405732036e+01
1.375000000000000000e+05,1.932736219731560368e+03,8.308991300414666270e+00
1.430000000000000000e+05,1.543824793950241883e+03,5.274297774186330834e+00
1.485000000000000000e+05,2.015338230787859629e+03,4.726562000989239287e+00
1.540000000000000000e+05,2.123687685598245935e+03,3.288738497329910082e+00
1.595000000000000000e+05,2.089476034129066193e+03,3.995967512133453248e+00
1.650000000000000000e+05,2.163890798844870460e+03,5.702331213193292392e+00
1.705000000000000000e+05,2.148912559529564078e+03,6.641528486808509157e+00
1.760000000000000000e+05,1.916293111353875247e+03,7.814729017394937749e+00
1.815000000000000000e+05,2.124458878766969974e+03,7.895599145393802587e+00
1.870000000000000000e+05,1.861682947355225679e+03,9.299080642890983128e+00
1.925000000000000000e+05,2.449180575594114089e+03,1.341852898713963960e+01
1.980000000000000000e+05,2.461296272117368972e+03,1.236577097349342225e+01
2.035000000000000000e+05,1.996585475331699172e+03,6.125114470612401441e+00
2.090000000000000000e+05,2.525654762411389584e+03,3.640724520666739128e+00
2.145000000000000000e+05,2.253546693654485807e+03,3.541578793218196797e+00
2.200000000000000000e+05,0.000000000000000000e+00,3.360369827318688607e+00
2.255000000000000000e+05,4.509163911295380558e+02,6.124186347681289000e+00
2.310000000000000000e+05,1.170311008828396325e+03,6.579951646604576432e+00
2.365000000000000000e+05,1.385735138480288697e+03,1.199156149349105327e+01
2.420000000000000000e+05,1.459752217246803411e+03,3.743845627685704613e+00
2.475000000000000000e+05,2.013095800646160797e+03,6.633304956067616054e+00
2.530000000000000000e+05,1.995204133856255567e+03,7.760244519820987286e+00
2.585000000000000000e+05,2.058703718929825300e+03,6.221914393315122638e+00
2.640000000000000000e+05,2.002985429183371707e+03,3.743223664817667551e+00
2.695000000000000000e+05,2.426190928875434565e+03,3.111722858066313879e+00
2.750000000000000000e+05,2.548234118101991044e+03,3.710527707563649358e+00
2.805000000000000000e+05,2.211170999528313587e+03,4.323603774414903178e+00
2.860000000000000000e+05,2.392756648562409737e+03,6.202836116161701163e+00
2.915000000000000000e+05,2.422243438212258297e+03,8.584469261260805339e+00
2.970000000000000000e+05,2.527955785700037268e+03,8.617100175195258061e+00
3.025000000000000000e+05,2.293575577125252494e+03,5.900310720007905019e+00
3.080000000000000000e+05,2.920112673070475921e+03,5.182593957679040741e+00
3.135000000000000000e+05,2.585559759023244624e+03,8.164863454495504769e+00
3.190000000000000000e+05,2.714254218447254971e+03,4.109357406838060278e+00
3.245000000000000000e+05,2.477082445580143485e+03,5.341903517400543144e+00
3.300000000000000000e+05,0.000000000000000000e+00,3.834150003998907152e+00
3.355000000000000000e+05,5.958903354300917954e+02,4.710472604016031184e+00
3.410000000000000000e+05,5.345837826823765226e+02,8.999638814195666470e+00
3.465000000000000000e+05,1.394663927740946747e+03,4.622774758391853034e+00
3.520000000000000000e+05,1.414231034232947650e+03,7.280009976017614903e+00
3.575000000000000000e+05,1.386227009160423449e+03,6.507083587654078904e+00
3.630000000000000000e+05,1.722266791534293361e+03,5.540195740157503934e+00
3.685000000000000000e+05,1.656402639587056683e+03,5.605194325265973276e+00
3.740000000000000000e+05,2.056821425595144774e+03,2.789215590130481814e+00
3.795000000000000000e+05,2.098592169349158667e+03,4.414797032585184411e+00
3.850000000000000000e+05,1.744631054232448832e+03,2.812708193385400790e+00
3.905000000000000000e+05,2.190690575574377362e+03,5.160157559499339186e+00
3.960000000000000000e+05,2.295499969594285176e+03,8.714568816956736796e+00
4.015000000000000000e+05,1.608053992885798380e+03,8.872912757088906588e+00
4.070000000000000000e+05,2.384128250968727116e+03,7.713716119199045984e+00
4.125000000000000000e+05,2.267744016040984661e+03,7.343010948740191779e+00
4.180000000000000000e+05,2.309492951395678119e+03,9.600326633534507437e+00
4.235000000000000000e+05,2.437577402822365912e+03,3.576440643885516746e+00
4.290000000000000000e+05,2.148038382078089398e+03,5.755287429776714703e+00
4.345000000000000000e+05,1.988626586890294675e+03,3.133468143979043941e+00
4.400000000000000000e+05,0.000000000000000000e+00,3.751522066276788969e+00
4.455000000000000000e+05,4.754740666207416098e+02,4.298166721499421250e+00
4.510000000000000000e+05,9.868919961896643827e+02,1.113146564919925829e+01
4.565000000000000000e+05,7.300367920179721750e+02,9.337854063653459491e+00
4.620000000000000000e+05,1.341059269705421457e+03,7.477109533444129319e+00
4.675000000000000000e+05,2.118051783534325750e+03,8.047340207762724518e+00
4.730000000000000000e+05,1.809072580975385335e+03,6.277605959264121793e+00
4.785000000000000000e+05,2.037128398439515422e+03,4.347019572277654120e+00
4.840000000000000000e+05,1.984095083734017635e+03,3.244300011598124200e+00
4.895000000000000000e+05,1.907029879669137244e+03,3.791164326298457787e+00
4.950000000000000000e+05,2.192104510391195163e+03,2.108801090628210861e+00
5.005000000000000000e+05,2.207337497989086387e+03,7.111835222678777768e+00
5.060000000000000000e+05,2.015867705836825280e+03,6.977001088947052843e+00
5.115000000000000000e+05,2.069105412717156923e+03,1.343045887460718824e+01
