timesteps,average_episode_return,std
0.000000000000000000e+00,0.000000000000000000e+00,3.031514803462674212e+00
5.500000000000000000e+03,8.075734988129397607e+00,2.312535675294002502e+00
1.100000000000000000e+04,6.262862519739396703e+02,2.792472285439421054e+00
1.650000000000000000e+04,7.199842017672830252e+02,5.021794174282673495e+00
2.200000000000000000e+04,1.056180362382225212e+03,5.997586525833376037e+00
2.750000000000000000e+04,8.608744052056784994e+02,3.501155777775984745e+00
3.300000000000000000e+04,1.271223119780548132e+03,5.205653612339476766e+00
3.850000000000000000e+04,1.270918366177096459e+03,5.326013788247601077e+00
4.400000000000000000e+04,1.202877206653077337e+03,4.056467861599628577e+00
4.950000000000000000e+04,1.372818821464234361e+03,4.590974528503253715e+00
5.500000000000000000e+04,1.223786120399789070e+03,4.822265946763661937e+00
6.050000000000000000e+04,1.411789882454137796e+03,4.762356851976819350e+00
6.600000000000000000e+04,1.461073823969173418e+03,3.111499348989405167e+00
7.150000000000000000e+04,1.476931876776794525e+03,3.019254234826255878e+00
7.700000000000000000e+04,1.567990696926599867e+03,3.288947117184910507e+00
8.250000000000000000e+04,1.673301525576516497e+03,3.073145932040186601e+00
8.800000000000000000e+04,1.330852480986399769e+03,4.721559835196437405e+00
9.350000000000000000e+04,1.647759545234433290e+03,2.053391223651165554e+00
9.900000000000000000e+04,1.118241726643360153e+03,3.590788387953576688e+00
1.045000000000000000e+05,1.366247737677619398e+03,7.500441997687096851e+00
1.100000000000000000e+05,0.000000000000000000e+00,2.352356407417488526e+00
1.155000000000000000e+05,3.481957232066330334e+02,3.166957035841303725e+00
1.210000000000000000e+05,3.792675680316296507e+02,4.275991762192467682e+00
1.265000000000000000e+05,1.041166085108107154e+03,4.893640868789400855e+00
1.320000000000000000e+05,4.585630266279616194e+02,6.291876586612160871e+00
1.375000000000000000e+05,7.070731002159649279e+02,5.690500155582089548e+00
1.430000000000000000e+05,6.024073058039278976e+02,5.404741073614878211e+00
1.485000000000000000e+05,9.787252943372537857e+02,4.680822113761703207e+00
1.540000000000000000e+05,7.941595102954189542e+02,4.995975235121136393e+00
1.595000000000000000e+05,5.944623875637612400e+02,5.792226216300386810e+00
1.650000000000000000e+05,7.463714733521394464e+02,2.033576953177063995e+00
1.705000000000000000e+05,9.190592366544276501e+02,3.980133633327074261e+00
1.760000000000000000e+05,1.213453983805794223e+03,3.457500910309842634e+00
1.815000000000000000e+05,1.186957170740009587e+03,4.036704109371691551e+00
1.870000000000000000e+05,1.269750562596105283e+03,1.955735633375708771e+00
1.925000000000000000e+05,1.199494970668427868e+03,4.446465873895456333e+00
1.980000000000000000e+05,1.016540419238380991e+03,4.422614956894129534e+00
2.035000000000000000e+05,1.519342072812990409e+03,4.209141772304183959e+00
2.090000000000000000e+05,1.030916695703348068e+03,3.712761980738668033e+00
2.145000000000000000e+05,1.255464525542225374e+03,6.562825501455577637e+00
2.200000000000000000e+05,0.000000000000000000e+00,1.604972167082937995e+00
2.255000000000000000e+05,1.306893973989283211e+02,2.036652004605689736e+00
2.310000000000000000e+05,3.547231444046259412e+02,3.581956616371693602e+00
2.365000000000000000e+05,3.826483021503681812e+02,4.335785188146252800e+00
2.420000000000000000e+05,8.791225226595777258e+02,5.404644842096946178e+00
2.475000000000000000e+05,8.019092554956516778e+02,4.962159434970341287e+00
2.530000000000000000e+05,1.097474916662049736e+03,4.514412655117339135e+00
2.585000000000000000e+05,1.234125717926396646e+03,4.581456286323531302e+00
2.640000000000000000e+05,1.167866151379869279e+03,4.944128524468609065e+00
2.695000000000000000e+05,1.123597541136719656e+03,1.764902011885131072e+00
2.750000000000000000e+05,1.231457973217805829e+03,4.800740594463534627e+00
2.805000000000000000e+05,1.035432968087895915e+03,3.912199273858403270e+00
2.860000000000000000e+05,1.264586863135369867e+03,4.396713900478865789e+00
2.915000000000000000e+05,7.836409286502386067e+02,2.836715308290516102e+00
2.970000000000000000e+05,1.036953469108166246e+03,3.513130112432970353e+00
3.025000000000000000e+05,1.383128471865178199e+03,3.388787442199761024e+00
3.080000000000000000e+05,9.212258886551247770e+02,6.392515233473433867e+00
3.135000000000000000e+05,1.308707600868633790e+03,4.877372377203808895e+00
3.190000000000000000e+05,1.409413865146432727e+03,4.417086139931873490e+00
3.245000000000000000e+05,1.268085184999355533e+03,5.188862326903505462e+00
3.300000000000000000e+05,0.000000000000000000e+00,2.221994684556221067e+00
3.355000000000000000e+05,3.727135452420669708e+02,3.311969631180477158e+00
3.410000000000000000e+05,7.702708019748706647e+02,4.653996580315764575e+00
3.465000000000000000e+05,7.798586440958780486e+02,4.392514273906135358e+00
3.520000000000000000e+05,3.098706277797613211e+02,5.429677288577260619e+00
3.575000000000000000e+05,1.069577730983015954e+03,3.872092474071832324e+00
3.630000000000000000e+05,6.658622151693029991e+02,5.214861238757807271e+00
3.685000000000000000e+05,1.159557724947142106e+03,4.569643284877414224e+00
3.740000000000000000e+05,9.043785416935427293e+02,4.217504612232177763e+00
3.795000000000000000e+05,1.074307480445659166e+03,6.064442260659286710e+00
3.850000000000000000e+05,1.273059718497433096e+03,2.345244951640573117e+00
3.905000000000000000e+05,8.154946212734542996e+02,5.039347082844543912e+00
